SLEW	Did away with
SLAVE	Aida was one
LETON	Allow to be known
EARLS	Some nobles
WHATNOTS	Bric-a-brac holders
ANDES	Lake Titicaca's range
AFFIRM	Declare true
NEARLY	Just about
DALE	Chip's cartoon chum
ESSA	She, in Siena
STENTORS	Loud speakers
MISS	Fail to see
MARGIN	Place for doodles
IGOR	Stravinsky or Sikorsky
SEMI	Highway jackknifer
SEED	Start a garden
LEAH	Jacob's first wife
FEAST	Seder, e.g.
AGEE	"A Death in the Family" writer
ATRA	Gillette razor
FALSE	Like some alarms
ROME	City on the Tiber
VOLTAIREAN	À la the author of "Candide"
AAHS	Cries at a circus
GRID	Graph pattern
ENSNARL	Tangle up
TAI	___ chi
ADS	Magazine features
OHMYGOODNESS	"Golly!"
GESTE	"Beau ___"
ORE	Mine find
ERIC	Writer Ambler
SINO	Chinese: Prefix
SONY	PlayStation 2 maker
CARTS	Fairway vehicles
CUBA	Bay of Pigs location
ATOM	Something to smash
REAP	Harvest
ERRS	Goofs
RIO	Copacabana site
UTES	Beehive State natives
GASES	Some are inert
GATEWAYS	Entry points
ASH	Cigar residue
SINN	___ Fein
SCRABBLE	Tiles are laid in it
BOA	Drag queen's wrap
OAST	Brewer's oven
OIL	Black gold
MCCOY	Feud family member
METE	Dole, with "out"
AMPHITHEATER	Hollywood Bowl, e.g.
HONEST	Like Abe
ANTLER	Buck topper
TALENT	Scout's quest, maybe
OLE	Córdoba cry
NATALIE	Wood in Hollywood
LINER	Lid or lip application
IRATE	Steamed
EDITS	Cuts and pastes
EGAN	Edward ___, cardinal of New York
EPOS	"Beowulf," e.g.
GALE	Nor'easter
ACDC	Electrical letters
WATTLEBIRD	Nectar-eating avian
AMEN	"Absolutely!"
TIME	Test proctor's call
PACE	Step
AMILE	"I'd walk ___ for ..."
BNAI	___ B'rith
OLDS	Cutlass or Delta 88
YEMEN	Aden's land
LETT	Riga native
SECT	Religious offshoot
SNERT	Hägar's dog
ERES	"___ Tu" (1974 hit)
