HMS	Pinafore letters
HOTTEA	Something brewing
MAROON	Strand
SKINNED	Like some knees
BATS	Loony
BEGS	Asks for alms
ACT	Make a scene?
THEPIANO	1993 film that had Oscar's Best Actress and Best Supporting Actress
SOLIDS	Recovering patients consume them
INTAKE	___ valve
ISPY	Early Cosby series
NTH	Like one in a series
TOOLATE	"You just missed her!"
ANNOYING	Pesky
KEEPITUP	"Go, man, go!"
EDS	Some board members: Abbr.
OAK	Wine cask wood
ECHO	Repeat after me?
STONED	Intoxicated
STRINGTELEPHONES	Kids' "communication" toys
SALK	___ vaccine
NEE	Maiden name preceder
ETS	Sci-fi figures
ATONES	Is repentant
PITY	"What a shame"
LOP	Chop (off)
LEONE	Sierra ___
BIDS	Makes an offer
BREED	Afghan or Tibetan
LAYIT	___ on thick
LEVEE	River barrier
TEES	Ball-bearing group
KANE	"Citizen ___"
IRAS	Nest eggs, briefly
INNER	___ self
PETITE	Like some women's dresses
PENNE	Pasta choice
DONEN	Film director Stanley
OOZES	Slimes
REVENUE	Proceeds
ROOKS	Cons
MTA	N.Y.C. subway inits.
MIFF	Tick off
TOOLROOM	Machine shop area
ADRIENNE	Poet Rich who wrote "Diving Into the Wreck"
ONEONONE	Configuration of six places in this puzzle's answer
NCAAGAME	March Madness feature
GPS	Family docs
IODIZED	Like most table salt
ICEBEER	Alcoholic product popularized in the 90's
CONES	Scoop holders
SMOOCHY	Kissy-faced
FORCER	Coercer
LAKE	Cottage site
LINEAL	Like regal succession
MAWS	Big mouths
ANNLEE	American Shakers founder
WEEUNS	Tiny tots
SERB	Dweller along the Morava River
FLIES	Pop-ups, e.g.
BIAS	Slant
BAH	"Poppycock!"
DONEE	Gift getter
DOS	Affairs
REB	"Johnny ___"
SANG	Was trilling
SYNE	New Year's Eve word
SOONER	Oklahoma athlete
STIR	Arouse
LONELYHEARTSCLUB	Lovelorn group
LGE	Big: Abbr.
LOG	Keep a record of
ROE	Spawn
GONEON	Infatuated with
AMOI	Mine, to Monet
HEN	Egg warmer
EMERGE	Come out
LEER	Odd look
YES	"You bet!"
