ODDER	More eccentric
OCCUR	Happen
DRONE	Pilotless aircraft
DONOTSTACK	Sign for a jury selector?
ENT	Suffix with differ
RYE	Seedy loaf
AHAB	"Moby-Dick" captain
ATTENDEE	Eventgoer
HOST	Party thrower
AFFIRM	Uphold
BUR	Prickly seed cover
HAHA	Reaction to a knee-slapper
HIGHDAY	Religious time
AMIE	French girlfriend
HALL	Room connector
AXEL	Skating jump
CRONY	Old pal
TOFU	Food that may come in small cubes
IMAX	Giant-screen film venue
CONTENTSFRAGILE	Sign for a person in therapy?
NYE	Science guy Bill
ASA	Cool ___ cucumber
UNO	___, due, tre ...
YETI	Abominable Snowman
SHELL	Turtle's covering
RETAKEN	Like college aptitude tests, for many students
AKA	Letters before an alias
KINKS	Twists to be worked out
ROAD	Highway
OPART	Eye-catching designs
SKI	Compete in a slalom
DAMP	Moist
AMPLE	Enough
ATTY	Lawyer: Abbr.
THISSIDEUP	Sign for a sunbather?
TORE	Went fast
YOKE	Oxen connector
INTANDEM	Together
IVES	Currier and ___
NINA	Companion of the Pinta and Santa Maria
DEERE	Plowmaker John
ANYHOO	"Well, then ..."
NYMPH	Pretty maiden of Greek myth
VIA	By way of
KEEPDRY	Sign for a recovering alcoholic?
DESSERTS	Mousse and mud pie
IRK	Annoy
ENCASE	Completely cover
AERATED	Exposed to oxygen
LETMESEE	"Hmmm ..."
EAT	Consume
SAKE	Japanese drink
RTES	Numbered hwys.
TATTOO	Skin art
PAS	Faux ___
RHEA	Perlman of "Cheers"
HIE	Go quickly
SCHTICK	Comedian's gimmick
CRO	___-Magnon
COALS	They're stirred in the fire
KITTY	Meower
ADLAI	Candidate Stevenson of '52 and '56
APTS	Many urban homes: Abbr.
DRIP	Annoyance from a faucet
LONE	"The ___ Ranger"
TIER	Level
IFSO	In that case
DOI	Rhetorical question, possibly
PROTECTFROMHEAT	Sign for a gangster?
CPR	E.M.T.'s skill
MSG	"No ___" (Chinese menu notation)
HAY	It's pitched with a pitchfork
TINE	Fork prong
POST	Washington daily
SAULT	___ Ste. Marie, Mich.
SPED	Went fast
ROOS	Aussie jumpers
GYPSY	___ Rose Lee
