GLASSJAW	Boxer's vulnerability
GOLFPRO	One giving driving lessons
LIAISON	Affair
ALCESTE	Gluck opera
SCENT	Lilac, e.g.
SLID	Fell, as interest rates
JONS	Singer Anderson and others
ATT	Case studier: Abbr.
WHOARETHOSEGUYS	Repeated line in "Butch Cassidy and the Sundance Kid"
BADOFF	In trouble
BERMS	Earthen embankments
AMOR	De Falla's "El ___ Brujo"
DIME	Symbol of thinness
ONESHOT	Isolated appearance
FORTUNE	Mint
FROSTER	Bakery worker, at times
OILCLOTH	Waterproof cover
EMINOR	Key of Brahms's Symphony No. 4
LACEINTO	Really let have it
ROMERO	"Creepshow" director
FIENDS	Buffs
ARMRESTS	They may be shared in theaters
ROD	Symbol of punishment
PSST	It may turn some heads
FROS	Big dos
FINN	Fjord explorer?
HUT	Hike preceder
ROT	Fail to keep
PLIED	Practiced diligently
POPES	Bull producers
LIES	Fiction collection
BOONE	Shawnee tribe adoptee
BOSCH	"The Temptation of St. Anthony" painter
OREL	City founded by Ivan IV
ONEPOINT	Slender lead
POLO	Mallets are used in it
PORTER	One may be tipped
PUTA	___ hold on
OPENHOUSE	Room check-out time?
OUIS	Foreign approvals
MAPLES	They may be tapped
MADDASH	Saunter's opposite
ATEINTO	Partly depleted
PHANTOM	Unreal
OUTCLASS	Be far better than
AWAREOF	Onto
SANREMO	1920 peace conference site
SLEEKER	More smooth
ATHOS	Greece's "Holy Mountain"
ISIAH	Thomas of the N.B.A.
ION	Kind of generator
WAL	___-Mart
DEA	Grp. that may stop traffic
NOES	Some votes
NOMDE	With 51-Across, a fake handle?
MANE	Locks in a zoo?
MERCK	Drug giant
DINGDONG	Knock alternative
GHWB	Follower of R.W.R.
DEER	Howl : wolf :: bell : ___
GUERRE	See 46-Down
GALE	Noisy outburst
UCLA	Powell Library locale, for short
ANTHEM	Something to stand for
UPACREEK	In trouble
PAP	It lacks substance
STOWED	Like some luggage
YALLCOME	Invitation down South
HOMBRE	Dude
SPEAKFOR	Represent, in a way
