FAIRSHAKE	Reasonable treatment
FACT	It's not fancy
ALOE	Tropical flower
IMRE	Hungarian writer Madách
RAPS	62-Across offerings
SMU	Big D campus
HALLE	Berry with juicy parts?
ATEASE	Chilling, so to speak
KENTUCKYCOLONEL	Honorary title bestowed on Bill Clinton, Muhammad Ali and Mae West
ERTE	"Manhattan Mary V" artist
PEENS	Striking ends
PALIN	Woman on a 2008 ticket
ERASES	Takes back one's words?
EISENHOWER	He said "A people that values its privileges above its principles soon loses both"
NEERDOWELL	Bum
SLRS	Pentax Spotmatic and Nikon F2, for short
ALMAMATER	63-Across?
ARIEL	Moon of Uranus
CORPULENT	Having a lot to lose?
LASER	CD player part
TEES	Supply for driving
LATERISERS	Most night owls
ROUGHS	Sketches (out)
JESU	Pietà figure, literarily
JEEPS	Some Cherokees
ONEND	Turned up
COME	With 54-Down, approach with a line
COLDHARBOR	Site of Robert E. Lee's last victory
OUIJABOARD	Means of getting some answers
MVP	Shooting star, briefly?
ECRU	Tawny
REW	Opposite of FF
SHOP	Factory
PETE	Rose with a hit record
LOUVER	Kind of door or window
LSAT	180 is its max. score
REPOTS	Does a nursery job
KEGS	Draft sources
SETBY	Put aside
OWE	Have yet to settle
SLIPPERYWHENWET	Highway caution
RET	Emeritus: Abbr.
NEU	Modern, to Beethoven
ADJ	Rich or famous: Abbr.
SPEC	Particular
STEELE	Michael of the G.O.P.
THAT	Word accompanying finger-pointing
TOWCAR	Crash site sight
OTOS	People of the Platte, once
SINEAD	"Hoffman" co-star Cusack
BURL	Lump in cloth
ABOAT	"If I Had ___" (Lyle Lovett song)
ANKLE	___-high
LILY	Symbol of innocence and purity
LEEKS	Amaryllis family members
BROWNSTONE	Lucy and Ricky Ricardo's residence, e.g.
BALD	Completely smooth
TITO	Outfielder Francona
BOHO	Eschewer of convention, in slang
BATH	Some like it hot
ONTO	See 24-Across
HALO	Solar or lunar phenomenon
OPEL	2009 G.M. spinoff
ABACK	One way to be taken
INEEDANAP	Comment from the beat
DEC	Part of the fourth qtr.
LORAL	Big maker of communications satellites
TEAKETTLE	One singing in the kitchen
DRDRE	Artist with the 1999 6x platinum album "2001"
OLDSCHOOL	Opposite of avant-garde
