RESCIND	Lift
RAISINS	California ___
ENDEMIC	Native
STEEPLE	Tapering architectural feature
COATS	Checkroom collection
INTO	Absorbed by
NIE	Never, on Sonntag
DAD	Party to many a camping trip
MOONDOG	Bright spot on a meteorological halo
MAULED	Hardly treated with kid gloves
ONTAP	Ready
ODE	Epinicion
NONPLUSED	Stumped
DRSEUSS	"The King's Stilts" author
ORIENTE	East, in Ecuador
GALLEY	Proof place
ANTONIA	Willa Cather heroine
ANDORRA	Where Catalan is spoken
IDEATED	Thought
UTENSIL	Coppersmith's creation, e.g.
SEETO	Mind
OLA	Wave on the Ebro
OLIO	Collage
PEEL	Undress
IMPS	Problems for parents
JULEP	Dixie drink
JUROR	Court figure
URIS	"Mitla Pass" author
LUNE	Crescent
NIL	Goose egg
LURID	Like tabloid writing
LARES	Household deities
LUSTY	Like Rabelaisian writing
LUTES	Some chordophones
SCENARIO	Screenwriter's creation
NEVERMORE	Raven's remark
RUSSE	Ballet follower
RUNES	Futhark units
EROS	Psyche's lover
MUTE	Remote option
MUIR	___ Woods National Monument
CAVER	Speleologist
COLLATE	Arrange the sheets
AVAILED	Helped
TUNEDOUT	Ignored
TREK	Tough going
OCARINA	Egg-shaped instrument
URGENCY	Need for speed
TIEDYES	Decorates 60's-style
MOVES	Amorous advances, slangily
MASSIF	Annapurna is one
TRIES	Taxes
TINSEL	Glitter
CRI	___ de coeur
ALAR	Daminozide brand
PIERS	Popular strolling sites
PINTA	Martín Alonso Pinzón's ship
PAGE	Half of a leaf
PITAS	They're pocketed in delis
SLIM	Insignificant
INK	Word with jet or stand
AIRED	Shown
ASHY	Far from ruddy
SALOONS	Oater sights
OAR	Shell requisite
DESTINY	It's irresistible
DEN	___ mother
ENA	"Dan August" actress Hartmann
ITERATE	Dwell on
ENHANCE	Amplify
FEDERAL	Kind of case
NAYSAYS	Opposes
