AROMA	Appetite arouser
ABACI	Early counters
RECON	Military drone's job, for short
OLEOS	Spreads in bars
MOIST	Like towelettes, typically
AWN	Barley bristle
CLAP	Show appreciation, in a way
CRAVEN	Lily-livered
LODE	Prospector's strike
AMEN	Word of agreement
PER	A pop
ADO	Busyness
ARIA	"Habanera" from "Carmen" is one
DOOR	"Let's Make a Deal" choice
OPTS	Stops waffling
BELOW	Reporting to
ROME	"Gladiator" setting
PROP	Groucho's cigar, e.g.
PREACHER	Flock leader
ACEINVADER	Attila, for one?
VENI	Caesar's "I came"
RIOT	First-rate stand-up comic
COOS	Bird sounds
EVEN	Neck and neck
WEARS	Is tiresome
WHIG	Taylor or Tyler
INSTONE	How some things are set
ORR	Norris Trophy winner for eight consecutive years
CHA	When said three times, a dance
CHUM	One to hang with
RINGCHICKEN	Cowardly boxer?
GRIST	Miller's need
COS	N.Y.S.E. listings
KATO	Green Hornet's sidekick
EGAD	"Yikes!"
NETS	Pulls in
DEMUR	Voice opposition
DEMI	Prefix with god
ELAN	Zip
MOST	Kind of votes a candidate wants
UNSHAVEN	Stubbly
ROUGHAGE	Food with lots of fiber
ELON	North Carolina's ___ University
DEISM	Jefferson's religious belief
DEBT	Cardholder's woe
ESO	That, in Toledo
ETAT	"L'___ c'est moi"
MASSLESS	Like a photon
LENA	___ the Hyena of "Li'l Abner"
PRODS	Herders' tools
PES	Foot, to a zoologist
INTHEBOTTLE	Where to find a genie?
TYDBOL	Popular bathroom cleaner
LEOI	First pope with the title "the Great"
ANT	Colony worker
YESDEAR	Polite reply that may be accompanied by eye-rolling
DIDUP	Fixed fashionably
ENERO	Summer month in South America
ARRAU	Pianist Claudio
RESET	Change, as an alarm
SHIVA	The Destroyer, in Hinduism
SHOT	It may precede a chaser
HIPS	They may swivel
IKEA	Self-assembly retail chain
FIDO	Relative of Bowser
FLOE	Ice sheet
ILSA	She said "Play it, Sam"
INRE	Concerning
HIKE	Trek
ELLBINDERS	Holders of some pipe joints?
ESP	"I know what you're thinking" skill
NAS	"If I Ruled the World" rapper
OPEN	Start the bidding
SOSO	Middling
AURAE	Nimbi
TSA	Carry-on checkers: Abbr.
PEAL	Bit of laughter
SPOUT	Teapot part ... or a two-word hint to 16-, 25-, 43- and 59-Across
