WORD	Promise
WISP	Thin strand
ODAY	Singer Anita
RING	Cabal
DOGMA	Inflexible teaching
DIMS	Lowers, as the lights
DEALER	Narc's collar
IPHIGENIA	Daughter of Agamemnon and Clytemnestra
MEMO	Office note
SEENA	"...like you've ___ ghost!"
SHEBA	Biblical queen's home
SPEARS	Weapons for the Myrmidons
HIPPOLYTA	Queen of the Amazons
ENOS	Son of Seth
BEDE	Eliot hero
ADES	Lime coolers
IDIO	Peculiar: Prefix
EPEE	Olympics event since 1900
PINED	Ached (for)
SANG	Emulated the sirens
AHME	"Alas!"
EPODE	End of a Pindar poem
PYGMALION	Mythological sculptor who really loved his work
ALDA	"Everyone Says I Love You" actor
APSES	Church niches
ALEG	"Shake ___!"
AFRO	Round, full do
FADS	Hula hoops and such
RES	Court matter
RAZOR	Chin smoother
ERODE	Wear away
SELES	Graf rival
DRED	Scott of antebellum legal fame
DENIM	Casual cotton
ASLANT	Crooked
AERIE	Eagle's home
NAILS	Things to be filed
TROYS	Classical-sounding cities in New York and Michigan
ARENA	Gladiator's place
NARCISSUS	Youth who fell in love with his reflection
NEED	Require
EUMENIDES	Another name for the Furies
YEAR	Vintage designation
ZOLA	"Nana" author
SINUS	Nasal passage
SMEE	Bob Hoskins's role in "Hook"
TRIO	38-Down, for example
ODER	German river
MAIM	Disable
GAILY	With glee
GOGO	Kind of dancer
RESCUE	Deliver, in a way
UTTERS	Pronounces
MESO	Middle: Prefix
SALADS	Some lunches
ESS	Slalom curve
ITES	Mineral suffixes
SPLIT	Divvy up
NAGS	Emulates Xanthippe
SMOTE	Slew
WORST	Defeat
WALT	Creator of Mickey and Goofy
ONER	Lollapalooza
RIME	Frost
PHILOMELA	Athenian princess who was turned into a nightingale
HERO	Leander's lover
EMIR	Nabob of the Near East
LANA	One of Artie's exes
ARES	Greek war god
ANISE	Ouzo flavoring
LEDA	Mother of Helen of Troy
OMAR	Gen. Bradley
LEMUR	Arboreal animal
IRED	Ticked off
TINE	Fork prong
TRESS	Snake, to Medusa?
TOSS	Prepare 49-Down
ERAS	Generations
