CALL	Convoke
COPS	Sting participants
ADUE	Together, to Toscanini
LIFT	See 83-Down
LEFTY	Southpaw
ERAS	Lasting periods
ETHER	Old hospital administration
ROE	School of the future?
ARM	One may be in a cast
SEAHAWK	Navy helicopter
ELISHA	Elevator innovator Otis
EVILEST	Least good
LICE	Vermin
IND	Like Pachelbel's Canon
SIR	Camelot honorific
HEARSE	Final transport
ARGO	It had 50 oars, in mythology
UNIT	Segment covered by a test, perhaps
UNERECT	Having poor posture
NICKELODE	Poem that isn't worth much?
ICH	First person in Germany?
TKO	Fight finisher
ODIE	Comic strip dog
TORE	Streaked
VINIER	More junglelike
NICK	Minor wound
PUFFTHEMAGICDRAG	Smoke a funny cigarette?
TEA	It may be iced or spiced
GALAS	Grand opening events
ECHO	Sound rebound
SETTEE	Parlor piece
HALE	Sound
ROARK	"The Fountainhead" hero
AMYL	___ nitrite
YARDSALE	Weekend outdoor event
DIANA	1997 best seller subtitled "Her True Story"
SON	"Favorite" one
MSS	Items in an ed.'s in-box
MARE	Colt producer
STEM	Bud holder
MEESE	Reagan attorney general
SENOR	Monsieur, across the border
ESSO	Sinclair rival
ACH	Teutonic cry
ASCII	Some computer characters are written in this
CALMS	Composes
HOOPLA	Big buildup
IOWASTATECYCLES	Transportation in and around Des Moines?
TALL	Unbelievable
CANADA	Where Labour Day is observed
SAO	___ Paulo, Brazil
BLANKSTARE	Sign of an absent mind
BERSERK	Wild
LII	Caesar's card count?
ALTONS	1904 presidential candidate Parker and others
CLOSEIN	Encircle
SEALER	Wax, perhaps
LEMON	Kind of drop
OMAR	Former Army chief of staff Bradley
DOO	Scooby-___
IMPERIALGALL	Autocrat's chutzpah?
LOAN	Gift alternative
GAIT	Way to go
AHN	"Kung Fu" actor Philip
LUNCH	Pail contents, perhaps
MAPPER	One may be plotting
PILLAGE	Sack
PALISH	Rather wan
ISLAS	___ Malvinas (the Falklands)
OAHU	Diamond Head locale
ACADIA	Evangeline's home
ATOI	Yours, to Yvette
CUPS	Quart quartet
ALEAGAINNATURALLY	What Andy Capp's bartender serves him?
ARIOSE	Melodious
GANT	"Look Homeward, Angel" hero Eugene
ARR	Airport info: Abbr.
YABBER	Chatter, to an Aussie
ERRANT	Wide of the mark
CROP	It may need dusting
LIANA	Tropical growth
NUOVA	Dante's "La Vita ___"
ASYET	To date
BARKIN	Pacino's "Sea of Love" co-star
BROAD	Like some humor
ABANDSHIP	Musical group's regatta entry?
CHRISTMASBUS	What Santa's elves rode when the sleigh broke down?
CRIB	Cheater's preparation
THINE	Biblical possessive
MIV	Early 11th-century date
ORB	Sun, e.g.
ORCA	Marine menace
OTTER	Furry frolicker
TBAR	With 3-Down, way up for a downhiller
EERY	Like Serling tales: Var.
HIGHBOY	Bedroom furniture
ROASTS	Certain tributes
STEELED	Toughened
THRU	By way of, briefly
BEINGALIVE	Song from Sondheim's "Company"
NAPKINS	They sit on laps
GRIEF	Heartache
AILEENS	"Annie" portrayer Quinn and others
LAS	Part of U.N.L.V.
EVE	First mate?
CANTHEBARBARIAN	Give Attila his walking papers?
BASICS	ABC's
RAT	Judas
ADDER	One working on a column
ARY	Suffix with function
PILSENER	Light lager
NOISY	Raucous
ERN	Directional ending
RILED	Angry
SEUSS	"There's a Wocket in My Pocket!" writer
STAT	A.S.A.P. in an E.R.
SKEE	___-Ball
STEP	Flight segment
ORISON	Prayer book selection
SOLO	Lacking backup
OVAL	Indy path
NENE	Wild goose
SAHL	Comic Mort
SAN	___ Lorenzo, Calif.
AMY	U.S. Olympic gymnast Chow
TIGHTIFELLINLOVE	Autobiography of a soused romantic?
GUT	Dieter's target
HMO	Cigna plan: Abbr.
LYE	Strong cleaner
LEX	Law of ancient Rome
AMIE	Foreign pen pal
ACUMEN	Astuteness
NYES	TV's Science Guy and others
ELAN	Spirit
NYPD	Org. in an ABC drama
TSTOPS	Camera lens settings
SEXY	Hot
DOLE	Handout
