OCALA	City SSW of Jacksonville
OCHER	Autumn hue
CIERA	Old Olds
AVAST	"Stop, matey!"
LIVECHAT	Real-time online conversation
ALY	Prince ___ Khan
ERGS	Physics units
ERESTU	1974 Mocedades hit
RITT	Film director Martin
GLADHAND	Politician's greeting
SEL	Partner of poivre, in French seasoning
THEN	First of two before-and-after pictures
TEAPOT	It's "short and stout" in a children's song
HASHMARKS	*Lines on a football field
ESAI	Morales who played a 13-Down officer on TV
NYPD	See 12-Down
CIVIL	Mannerly
RILE	Stir (up)
EASY	"No prob"
HEAVYMETAL	*Megadeth's music genre
MEEK	Docile
ASAP	"Now!"
ERSE	European tongue
ESTD	Cornerstone abbr.
APHID	Green bug
AMAT	Part of a Latin 101 trio
RATCHET	Increase in increments, with "up"
HAT	Symbol of a position
HIMOM	Sign in the bleachers
IMAM	Shiite leader
HAKUNAMATATA	*"The Lion King" song
NINON	Sheer fabric
TORO	One seeing red?
AMPM	Like 12-hour clocks
ARHAT	Enlightened Buddhist
ASCH	"The Nazarene" author Sholem
REPO	"___ Man"
HAUTMONDE	*Society
INAT	___ the beginning
ROM	Neighbor of Hung.
SEAT	You may take one before dinner
HANDM	Swedish-based international clothing giant ... or a hint to the answers to the six starred clues
HAMM	2004 Olympics gymnastics star Paul or Morgan
ANAEROBE	Organism that doesn't require oxygen
WKRP	Dr. Johnny Fever's station, in 1970s-'80s TV
WORLDMAP	Colorful almanac feature
CPU	Hi-tech heart
BANO	Spanish bath
BLED	Ran
BOSOM	Kind of buddy
BEE	Busy type
HOTELMANAGER	*Hilton head, e.g.
ENROLL	Sign up
ASTARE	Rubbernecking
GMAC	Auto financing co.
MNEME	One of the three original Muses
SMELLED	Knocked someone out, say
LOADS	A lot
ENNIO	Film composer Morricone
DENIM	Material in a "Canadian tuxedo"
FJORD	Viking training camp?
FLAK	Criticism
JEDI	Lightsaber wielder
ROTA	"The Godfather" composer Nino
OREM	Utah city
DONE	"I finished"
LENO	Who once remarked "You can't stay mad at somebody who makes you laugh"
HORACEMANN	*The Father of American Public Education
HUM	What fans do
ERE	Poetic preposition
ADDL	Extra: Abbr.
UBER	German word slangily used to mean "extremely"
RADII	Circle measures
KIEL	Germany's ___ Canal
MEME	Internet ___ (viral phenomenon)
EPSOM	English race site
