SOW	Barnyard female
STRAP	Part of a football helmet
OBAMA	First president whose name ends in a vowel other than E or Y
WATERPROOF	Safe for the 40-Down
CHI	X
CDX	XLI x X
HOMBRE	Dude
ICEAX	Glacier climber's tool
IAMBIC	Like Shakespeare's sonnets
ION	It's charged
AMBLES	Moseys
MELISSA	Etheridge who sang "Come to My Window"
BRAT	Imp
ITCH	Desire
CAKE	Birthday order
TBA	TV schedule abbr.
DOCS	Nonfiction films, for short
SNUG	Cozy
OMERTA	Mafioso's code of silence
RAT	One who breaks the 16-Across
XMENINBLACK	Mourning comic book mutants?
IMA	"___ Gigolo"
AMES	Ed with the 1967 hit "My Cup Runneth Over"
SLOT	Nickelodeon opening
BAUM	Toto's creator
LITHE	Bending easily
PARLORXGAMES	Event that includes Snowboarding Charades and Motocross 20 Questions?
ORYX	Large African antelope
MAYA	Poet Angelou
PORE	Source of perspiration
ASSAIL	Set on
ANKLEBITER	Rug rat
IKEA	Acronymic store name
LAYS	Potato chip brand owned by PepsiCo
DIRTY	One way to play
DUES	Club bill
INCA	Member of an empire founded by Manco Capac
PRAY	Speak with folded hands, say
PAL	Bud
RYE	Bread for a Reuben
ABC	"Happy Days" network
ANKA	"You Are My Destiny" singer, 1958
UNO	Classic Fiat model
XRAYBAN	Result of a phobia of medical pictures?
RAIN	Precipitation
NAPS	Refreshers
KEY	Integral
ECON	Business major subj.
NAPKINS	Table cloths
ALEC	Tina's "30 Rock" co-star
ATLAS	North Africa's ___ Mountains
TEXT	Send a quick update, in a way
SAFARI	Travel in the bush
RASSLE	Have a backwoods brawl
EPEE	Cousin of a foil
EASING	Facilitating
PANDORASXBOX	Curious person's video game console?
DEF	"Be Kind Rewind" co-star Mos ___
OWED	Outstanding
REVUE	Vaudeville offering
OMEGA	The end
XENON	Gas used in flash lamps
EWOKS	Endor natives in "Return of the Jedi"
EXES	Former flames
WAVE	Breaker, e.g.
OXEN	Plow pullers
EWES	Barnyard females
TIME	"The great instructor," per Edmund Burke
XAXISOFEVIL	Diabolical graph line?
OYS	Jewish laments
LEG	Relay part
TEN	X
EVENLY	In a fair manner
DUNE	Sci-fi novel made into a 1984 cult film
EGO	Word before booster or tripper
SENSES	Has a premonition of
EGG	It may get whipped in the kitchen
RAN	Fled
