ROVER	Gadabout
REBA	McEntire of country and western
ONAN	___ even keel
VERY	Extremely
ERR	Do something boneheaded
ROTATOR	The spit in a spit roast, e.g.
MOMS	Dads' counterpart
MANOR	Country estate
OLDS	Bygone G.M. make
MAE	Screen siren West
SIDEARMS	Pistols and such
FAZE	Disconcert
FARRFETCHED	Like a ball retrieved by actor Jamie?
ARIA	Diva's delivery
ZING	Get but good
EDGE	Upper hand
ENERO	January, in Juárez
ALAI	Jai ___
ARID	Desertlike
BARRTENDED	Like folks cared for by former congressman Bob?
EMIR	Kuwaiti leader
RING	Telephone sound
ANY	Whichever
AMOS	Book after Joel
ENRAGE	Infuriate
NIN	"Delta of Venus" writer Anaïs
STIR	Use a swizzle stick
STARRSHAPED	Like clay molded by drummer Ringo?
WAIF	Street urchin
WAITS	Does a garçon's job
CASTOR	Pollux's twin
CABOT	Explorer Sebastian
ALAMO	Texas battle site of 1836
STEAM	Geyser's emission
CARNEGIE	Man of steel?
CRAFT	Knitting or beadwork
GEARS	First, second, third and reverse
IMSET	"No more, thanks"
EPEES	Sporting blades
ALTAR	Wedding site
TRIM	Quick job in a barbershop
THEFT	Larceny
TEMP	Short-term worker
BAER	Max of "The Beverly Hillbillies"
THATS	"___ enough!"
TRIFECTA	Racetrack bet
CASE	Part of a judge's workload
OMAR	Gen. Bradley
REFS	Sports "zebras"
THREE	Little Pigs' count
THEBOSS	Springsteen, to fans
TOMSWIFT	Boy genius of juvenile fiction
WAY	Modus operandi
CHESTS	Holders of pirate treasures
COMP	Freebie
HAFT	Sword handle
COED	Not single-sex, as a school
CORGI	Welsh dog
AYEAYE	Naval affirmative
AHEM	"Uh ... excuse me"
YALE	Ivy League school
ERIN	Land of leprechauns
BOMB	Complete flop
BRIT	Londoner or Liverpudlian, e.g.
SHE	"Steady as ___ goes"
SLAV	Eastern European
HERE	"Kilroy was ___"
EDEN	Genesis garden
HARP	Angel's instrument
CARRPOOLED	Like funds gathered by singer Vikki?
ARC	Path of a javelin
ONE	White Monopoly bill
ELIE	Writer Wiesel
TRIG	Math class, in brief
SNARE	Trap
MEND	Patch up
ACTI	When Romeo meets Juliet
SEVEN	Dwarfs' count
