TIPSTER	Track figure
TUTELAR	Like a guardian
INEXILE	Kept from home
PILOTED	Flew
STATERS	Bay ___ (residents of Massachusetts)
TEVIS	Walter ___, author of "The Hustler"
ERIC	Prince in "The Little Mermaid"
RSVP	Answer
EATS	Din-din
ESCROW	Mortgagee's concern
ACUTE	Sharp
TORS	Craggy peaks
SUR	Boulogne-___-Mer, France
TOWROPE	Nautical line
TUTTI	For all to play, in music
ONE	With 105-Down, a short play
WAVE	Salon option
RIEL	Cambodian money
ORNATE	Florid
PETTED	Stroked
EDSEL	Car with an innovative "rolling dome" speedometer
UNITERS	Ally makers
SCOUR	Search high and low
REMARKS	Ad-libs and such
UNAIRED	Like some grievances
TELAVIV	Home of the newspaper Haaretz
CURRENTEVENTS	Electrical engineers and news anchors?
NABOB	Honcho
EXOTICPORTS	World travelers and wine connoisseurs?
OTOS	Western tribe
MAT	Wrestling locale
ELATE	Cheer greatly
LITES	Some Millers
TOE	It may be pinched
RABID	Zealous
RECUSED	Stepped aside, in court
DONATED	Gave
TEL	Business card abbr.
ALER	Oriole or Blue Jay, for short
BLOW	Completely bungle
BORG	1976-80 Wimbledon champ
LETBE	Not touch
HERO	Hercules or Ulysses
HONKS	Sounds of anger or jubilation
OGLED	Eyed
GDS	Factory shipments: Abbr.
LSAT	Hurdle for some college srs.
REDSHOES	Classic Hans Christian Andersen story, with "The"
HONERS	Sharpeners
ROCKBANDS	Geologists and music video producers?
RIA	Estuary
ABET	Assist in shady doings
ORT	Meal crumb
SINUS	Congestion site
SERUM	Blood ___
BASALTS	Some volcanic deposits
LAVISH	Extravagant
TRISTE	Mournful
SPATES	Sudden floods
SPRINGBREAKS	College students and mattress testers?
SHRUNK	Much smaller now
POISON	Exterminator's option
ROSCOE	Gangster's gun
IKE	Nickname once at 1600 Pennsylvania Ave.
RACED	Hurried
MET	Greeted
MADRE	Member of the familia
TARP	Outdoor cover
HOOKE	Robert who introduced the term "cell" to biology
EAR	Where the antihelix is
SEDATED	Under
DINGY	Needing bleach, say
DEBATE	Campaign feature
VIA	Itinerary word
RISERS	Choir stands
SCRAPED	Eked (out)
CUR	Despicable sort
RESENTS	Feels indignant about
DID	Executed
DESIST	Stop
SAC	Egg holder
USC	The Gamecocks of the Southeastern Conf.
SCHEMES	Machinates
HADJ	Religious pilgrimage
STATS	Rebounds and steals
NRA	Prominent D.C. lobby
ACHED	Hurt so bad
BASTE	Wallop
NOON	Twelve ___
NEHI	Fruit-flavored soda
RAD	Supercool
STAGECOACHES	Old West outlaws and aspiring thespians?
ARS	___ Magica
OILS	"Essential" things
KNEEPAD	Bit of gridiron equipment
PIN	A.T.M. need
TEARY	Obviously sad
TIREDLY	Without oomph
HIT	Boffo
HIPJOINTS	Beat-era musicians and orthopedists?
OCTET	Certain chamber group
TELECAST	Show on the small screen
TEND	Oversee
CALORIC	Heat-related
ASTRIDE	On
SHEDDER	Dog after the winter, e.g.
TERSELY	How Calvin Coolidge spoke
MAINE	Home of the Rachel Carson National Wildlife Refuge
MANTRA	You can say that again
AMORAL	Lacking scruples
CRTS	PC screens, for short
FEDS	Certain investigators, for short
FALSER	Less accurate
ASHE	Champ just before 36-Down
JAM	Tough spot
JESTS	Kids
DOTES	Lavishes gifts (on), say
OOHED	Expressed delight
BAN	U.N. chief ___ Ki-moon
BOERS	Some South Africans
ALTER	Desex
ACTER	See 13-Down
ENORM	Huge, in poetry
RAIL	Symbol of thinness
MINI	Attire not for the modest
OED	Shak. is its most-quoted writer
GOLDRECORDS	Fort Knox officials and pop singers?
GNUS	Striped animals
RODS	Wands
EURO	Prefix with zone
STRAIGHTLINES	Comedians and parade directors?
GEE	"Imagine that!"
IOU	Note to be used later
OUTRIDE	Defeat in a derby
TRAINEE	Office newbie
YOURE	"___ joking!"
DREIDEL	Lettered top
SALLIED	Set out
USSR	Cold war inits.
SORCERY	Activity in which spelling counts?
