EASTASIAN	Japanese or Korean
EAGLE	Old coin
ALEUT	Rat Island resident
STORE	Reserve
TAME	Mild
AMAS	Latin 101 verb
SON	Junior
INCH	Creep
ATEASE	Military command
NERVES	Anxiousness
APPEL	Dutch Abstract Expressionist
ADVISE	Counsel
PRECISIONS	Niceties
PINED	Yearned
EVOKE	Bring up
LEM	"Solaris" author Stanislaw
ALTAMONTE	___ Springs, Fla.
DRIVE	Energy
GEOMANCER	Diviner, of sorts
VENOM	Hardly sweet talk
LURES	Angler's needs
HAVLICEK	The Celtics' "Hondo"
LAS	Musical notes
ETE	Quarter of a calendrier
SEASIDE	Kind of resort
LARGESSES	Generous gifts
LACKLUSTER	Flat
ASH	Rowan, e.g.
RTE	Interstate sign: Abbr.
GAS	Interstate sign
CANASTA	Game to 5,000 points
CRT	Device used in an A.T.M.
AAR	Swiss river
NNE	Austin-to-Dallas dir.
IMAM	The Ayatollah, for one
MSG	Cause of Chinese restaurant syndrome
ACE	Expert
MAS	Attachment to Christ?
RANCHES	They're called stations in Australia
LATOSCA	Sardou play written for Sarah Bernhardt
LOI	Law, in Lyon
ARC	Circle section
TAU	Kind of cross
TREK	Hike
ORANGES	What a juggler may practice with
LEVITICUS	Whence the phrase "Thou shalt love thy neighbor as thyself"
ELTONS	John and others
VAC	Hoover, e.g., informally
ITALIC	Slanted
TESORO	Cache in the Sierra Madre
ULULATE	Loudly mourn
UTLEY	Newsman Garrick
LEAVE	Split
AGA	___ Khan
ADIOS	"So long"
GEENA	Oscar winner Davis
ASSES	Boobs
TESTCASE	Precedent setter
ETON	It's across the Thames from Windsor
LADES	Fills the hold
LESE	___ majeste
ARTS	The Muses' domain
PLATO	Academy founder
PSA	Free TV ad: Abbr.
LOTTERIES	Millionaire makers
TNT	Metal shell filling
SEVEN	Mickey Mantle, on the ballfield
IRONSTONE	Hard white pottery
AYERS	Classic advertising annual
CONTESSAS	Titled Italians
