HARPERS	Magazine since 1850
HEPCAT	Old swing digger
ATHOME	In familiar territory
RAISIN	___ bread
PILTDOWNMAN	Its teeth were actually a chimpanzee's
ELEA	Home of Parmenides
REAR	Can
SDS	Port Huron Statement grp.
INFORMS	Enlightens
INSTR	Music producer: Abbr.
NOPETS	Apartment restriction
FWIW	E-mail disclaimer
OWN	Consistently defeat, in slang
RHODESIA	It was NE of Bechuanaland
MAZELTOV	Literally, "good luck"
STAGEONE	Initial part
ETAILED	Accepted PayPal payments, e.g.
NOWWHAT	Cry upon reaching an impasse
PHILEAS	Verne's Fogg
SPINOZA	Lens-grinding Dutch philosopher
COSTAR	Bill sharer
STEW	Stay up nights, say
SIXTYNINE	Cardinal that looks the same when viewed upside down
DEG	Acad. goal
AMID	Within
DIRT	Scandalmonger's love
DALAI	Ocean, in Mongolian
PELE	Goal-oriented superstar?
PANHELLENIC	Of fraternities and sororities collectively
TENORSAX	Ravel's "Boléro" calls for one
RETAG	Change the price on
SAS	World's first carrier with a transpolar route
SOASTO	Such that one might
OUIDA	"Under Two Flags" novelist, 1867
WEALTH	Assets
HASTY	Precipitate
UNION	It may be striking
ICANTSAYASIHAVE	"Not in my experience"
INDETAIL	Blow-by-blow
COALMINE	Where pit stops are made to get fuel?
ARMOIRES	Bedroom furniture
SIS	Provider or wearer of some hand-me-downs
NORMA	Celestial neighbor of Scorpius
INSIDE	Private
DAMAGE	Crack, e.g.
ETALIA	Stand-in for unnamed others
ITSALULU	"Wait'll you see this!"
URBANA	It has a twin city in the Midwest
LOADER	Construction machine
UNEASE	Distress
ELON	Its sports teams are called the Phoenix
TONY	Accolade for a great play
ODEAR	"___ Cassio!": Othello
LRON	Hubbard of science fiction
TMI	"I didn't need to know all that!," informally
MADE	Whipped up
MITT	Paw
AMEBAE	Real low life?
ACEY	___-deucy
MALE	Like some electrical plugs
AIRMILE	Frequent flier's credit
MRS	Questionnaire check box option
OCANADA	It's heard before many a face-off
ORE	100ths of a krona
INERTIA	Sluggard's problem
RELINES	Makes warmer, maybe, as boots
LESSTAR	Selling point for some lights
EYECARE	It might improve your focus
