BIMBO	Empty-headed sort
BAH	"Humph!"
IMUS	"___ in the Morning"
MOMA	Guggenheim alternative in N.Y.C.
BUMMERS	Lousy breaks
ORIOLE	Orange-and-black flier
ALAMO	Battle to remember, with "the"
ANG	Taiwanese-born director Lee
LABS	Where many cultures thrive
AVIARY	Home for a 5-Down, maybe
MARMOT	Rockies rodent
OLD	Out of vogue
HOW	"And ___!"
HOLYTERROR	Imp plus
ODIE	Jon's comics canine
WEDS	Ends an engagement
AMOUR	Frequent Jacques Brel song subject
NAVAL	Like the Battle of Trafalgar
ODE	Work by Gray or Spenser
HUMMINGBIRD	One of the "dumbest dumb animals," according to 60-Across
NAMATH	M.V.P. of Super Bowl III
LID	Eye protector
SAMOA	Polynesian land
SAM	Walton who founded Wal-Mart
RYES	Some Jim Beam quaffs
ROMA	Home of the Galleria Borghese
ELMS	Classic Main Street liners
SLOE	Gin flavoring
ROBOT	Unpaid factory worker
BIB	Something to drool over?
ITSREALLYTIMEHE	Start of the reason the 17-Across is one of the "dumbest dumb animals"
IMPEL	Force
TRADE	Vocation
SIRGALAHAD	"Le Morte d'Arthur" figure
LEAPT	Took a giant step
HEARD	Found out
EDGES	Outer reaches
MRIS	Pics for docs
TOE	Corn locale
BARED	Shown in full
PAR	Course number
HEADS	Chairs
DAHL	"Fantastic Mr. Fox" author
SLEEVE	Elbow locale
RAG	Car wash item
EDGAR	Award for Best Novel won three times by Dick Francis
ARID	Perennially parched
RNA	Protein-producing substance
PAL	Person to bum around with
FORE	Driver's warning?
FORSURE	Definitely
LEARNEDTHEWORDS	End of the reason
ENDEAR	Make lovable
DAYONE	The beginning
WEEBIT	Tad
LIANA	Tropical vine
LEER	Unpleasant look
JOAD	"The Grapes of Wrath" surname
JOWL	Bloodhound feature
OOPS	Bungler's cry
DYE	Easter egg brightener
ERIK	"CHiPs" actor Estrada
VESTA	Goddess of home and family
TRAP	Decoy
ANTE	Start to date?
OOH	"Golly!"
GEORGEBURNS	See 17-Across
GMT	Clock setting at 0 degrees longitude: Abbr.
GAS	Fuel on the range
SEE	Witness
WPA	F.D.R. employment initiative
MANIA	Craze
IRATE	Steaming
LSD	Trip provider?
TREKS	Wilderness walks
TEPEE	Conical home
