STUD	Dress shirt closer
SWOREOFF	Promised to give up
TOOKNOTE	Was attentive
URLS	Internet addresses
DEF	"Excellent!," in slang
QID	Four times a day, on an Rx
QUIRE	Paper quantity
INNIE	Type of 39-Down
DATE	Movie companion, maybe
NOMAD	Person who doesn't put down roots
NOBODYSFEEL	Vibes not being picked up by anyone?
OPIUM	Painkiller since ancient times
MILTIE	"Uncle" of early television
ANGERS	Rages
DEERES	Some tractors
WORE	Had on
UNA	Acapulco article
OPINE	State as one's view
FOOLFAINT	Nitwit's swoon?
FARGO	Red River city
AERO	Houston hockey player
BILGE	Nonsense, slangily
ARKS	Torah holders
ERIE	New York tribe defeated by the Iroquois
OUTER	Exterior
REN	Cartoon Chihuahua
FREE	On the house
FOOLINGOKAY	Doing credible work as a magician?
ADMIRE	Respect
ARIA	Mozart's "Madamina," e.g.
GOOGOO	Kind of eyes
GWEN	Verdon of "Damn Yankees"
PRY	Force (open)
PRES	Top exec.
ESS	Turn one way and then back
OFTWO	"A Tale ___ Cities"
PURIST	Uncompromising sort
PICK	Miner's tool
UKE	Hawaiian instrument, for short
TORN	Pulled apart
FEELLIKEAFOOL	Regret some stupidity ... with a hint to this puzzle's theme
LEIS	Gifts at Honolulu Airport
OVERSELL	Push too hard, as an argument
LIVEWELL	Have it good
NIECES	Girls in the family
ERVIN	Watergate hearings chairman Sam
NAVEL	Belly part
MIT	Univ. where "Good Will Hunting" is set
MIASMA	Bad atmosphere
INCHES	"
TREADS	Steps (on)
NIK	Suffix with neat or beat
GENEVA	___ Conventions
GOBI	Asian desert
INRAGS	Shabbily clothed
ATRIA	Places in the heart
IDOL	Rock star, e.g.
INPUT	Contribution, as of ideas
DORMS	Buildings near some cafeterias
REV	Speed (up)
ACETO	Vinegar: Prefix
KNOB	Pre-remote channel changer
KAYO	Bout-ending slug
ASWE	R.E.M.'s "It's the End of the World ___ Know It"
AFTA	Mennen shaving brand
SHARK	Danger in dangerous waters
APRILFEEL	Spring in the air?
LIT	Shining
MEDIA	News groups
YUM	"Tastes great!"
ITLL	"___ do for now"
ASSAY	Analyze the composition of
OTS	N.B.A. tiebreakers
TALL	Like some orders
