ACED	Served well
ASP	Deadly desert denizen
CARSEATS	They come with belts
ELECTRICALSTORM	Potential blackout cause
DEMOTES	Puts in a bad position?
FAIL	Without ___ (religiously)
FREER	Less reserved
AIRS	Show of superiority
ICE	Winter coat
LESSISMORE	Central concept of minimalism
ASPCA	It has a facility with animals: Abbr.
ALLEGROS	Quick movements
SOUPSON	"Come and get it!"
PRISONEROFZENDA	1894 adventure novel, with "The"
CAGING	Putting away
AXING	Giving a pink slip
SALEPRICE	Nice figure
PIPES	Singer's gift, colloquially
LORAX	Truffula Tree defender, with "the"
PREMIERES	Red carpet events
LUIGI	Playwright Pirandello
SCOPES	One of Darrow's clients
SEEPSIN	Enters via osmosis
ENTITY	Body
SETTER	Hunting companion, maybe
SHOE	Mule, e.g.
SINGSONG	Uninteresting voice
SERPENT	Midgard ___ (monster of Norse myth)
HARES	Main ingredients in hasenpfeffer
BESTRONG	"Don't give up!"
BESTINSHOW	Top dog
OTIS	Manufacturer of boxy cars
HERMIONE	Friend of Harry and Ron
HELLER	Author of "Something Happened," 1974
ESC	Isolated PC key
DESPOTS	Unilateral decision-makers
DUMPEDON	Bad-mouthed
RAD	Excellent, slangily
APIARIES	Things getting a lot of buzz about them?
DESI	Portrayer of TV's Ricky
ADULTERY	Frequent subject on "Desperate Housewives"
DISLIKE	Find objectionable
TOPE	Empty bottles
TINFOIL	Early phonograph cylinder covering
SLIMLINE	Like some jewel cases
SINEAD	Musical O'Connor
HIFIS	Bygone players
HAFTS	Swordsmen's grips
MISSPENT	Wasted
MAGDA	One of the Gabor sisters
BANZAI	"Char-r-rge!"
BURNT	Very well done
ANTLERS	Head set?
DUFFER	Lousy driver, say
DIES	Conks out
GEOID	Imaginary surface coinciding with the earth's sea level
HAIRTONIC	Alopecia sufferer's purchase
APE	Caricature
CDS	Certain investments, for short
DARKO	"Donnie ___" (2001 cult film)
OPENSIDED	Like gazebos, often
ADMEN	Pitching staff?
WEST	Communism battler, with "the"
LASS	Miss
