RILES	Angers, with "up"
RACIER	More risqué
IRONMAN	Certain triathlete
LIONIZE	Treat as a celebrity
EEK	"Yikes!"
SLIP	Sales receipt
WOODS	Forest
WAGER	Transaction at a racetrack
OTT	Slugger Mel
OBI	Kimono closer
DAM	Hoover ___
STEIN	Gertrude who wrote "Rose is a rose is a rose is a rose"
JUT	Protrude
JUSTOUT	Hot off the press
UNTAMED	Wild
TEASETS	Dishes for doll parties
ARIEL	Disney's "little mermaid"
ATBAT	Facing the pitcher
UNE	French "a"
COOKINGTIME	Recipe guideline for a hot dish
NIBS	Penpoints
STA	Railroad stop: Abbr.
INN	Cozy lodging
PIE	Lure for Simple Simon
IOTAS	Smidgens
OHS	Cries of excitement
EMIR	Persian Gulf leader
ROMP	Frolic
BROKENHOME	Family divided by divorce
OPERATE	Do surgery
KINGS	Old Testament books labeled I and II
ETNA	Sicilian erupter
RAZORS	Barbers' tools
ROOT	Tooth or plant part
PIT	Deep hole
SUET	Fat used for tallow
NEMO	Captain of Jules Verne's Nautilus
DENNY	Name in a family restaurant chain
DENIM	Jeans fabric
YMCA	Family rec facility
TDS	Football scores, for short
POKERGAME	High-stakes draw in Las Vegas
KURD	Many a northern Iraqi
EURO	Continental currency
LAP	Place for a baby to sit
LOSTART	Skill that no one has anymore
AAMILNE	"Now We Are Six" poet
PROMISE	Declaration sometimes made with crossed fingers behind the back
TUNAS	Fish often destined for cans
CURE	Medical success
ROUGHLY	More or less
ENZYMES	They help digest food
OARS	Gear for gondolas
SKI	Vacation at Vail, maybe
RIT	Gradually slowing, in music: Abbr.
SARONG	Pacific island garment wrapped around the waist
STOW	Store (away)
GONERS	Dead ducks
SMOKEDMEAT	Pastrami, for one
EDICT	Formal decree
ASKED	Queried
OUZO	Greek liqueur
TIMID	Fainthearted
SOL	Spain's Costa del ___
LIRA	Turkey's currency
GYN	Ob-___ (med. specialty)
ALI	Rope-a-dope boxer
ITSOKWITHME	"Sure, go ahead" ... and a literal hint to what's found in 17-, 26-, 38- and 53-Across
TRY	Give it a shot
SUP	Dine
ODE	"___ on a Grecian Urn"
TUB	Rubber ducky's spot
RNS	IV adjusters
CRUDE	Oil directly from a well
RULER	12" stick
TEE	Golf peg
TYPED	Entered via a keyboard
ABYSS	Chasm
