BOTH	This plus that
BACH	"Brandenburg Concertos" composer
OTOES	Oklahoma Indians
TRUST	Object of Teddy Roosevelt's "busting"
HANSOLO	Millennium Falcon pilot in "Star Wars"
MINT	Breath freshener
MIDAIR	Where trapeze artists meet
IDONT	Runaway bride's response?
NEW	Partner of improved
TANS	What bronzers simulate
ESQUE	In the style of: Suffix
EVADE	Circumvent
SALINAS	California's ___ Valley, known as "America's salad bowl"
QUIETTIME	*Period of contemplation
UNC	Dad's bro
ETE	Summer in Montréal
ATRA	First razor with a pivoting head
IDEA	Child of invention?
VAUNT	Boast of
COUNTDOWN	*Mark the transition from an old year to the new, maybe
TIPTOP	First-rate
ALICE	Restaurant owner in an Arlo Guthrie song
HESSIAN	Mercenary in the American Revolution
SADIE	___ Hawkins Day
ADOLF	Name widely avoided in Germany
STOPIT	"Enough already!"
DENTED	Like a post-fender-bender fender
ENGEL	Georgia of "The Mary Tyler Moore Show"
DONNE	"Death Be Not Proud" poet
LTR	Common paper size: Abbr.
TAO	Concept in Confucianism
TIERS	Wedding cake layers
ALOT	Oodles and oodles
ATNO	___ extra cost
TABOO	Burping in public, e.g.
TIDAL	___ basin
ARISE	Pop up
BACKTRACK	*Reverse a position
SILL	Place for a hot pie to cool
SCAR	Permanent reminder
SIGN	Billboard
IRA	Roth ___
PACEOFF	*Measure with strides
ADHOC	Like single-purpose committees
FARRAH	Jill's portrayer on "Charlie's Angels"
MEN	Fellows
DICE	Backgammon pair
ESSENCE	Heart and soul
DART	Pub projectile
ADELE	An Astaire
DEBTORS	Ones who owe
ASKS	Questions
HRS	Stat for Babe Ruth: Abbr.
TRE	Uno + due
TEENSY	Itty-bitty
LETSGO	"Come on!"
GATES	Entrances to exclusive communities
SERBIA	Neighbor of Macedonia and Montenegro
SNERT	"Hägar the Horrible" dog
INUIT	Arctic native
AISLE	Airplane seating request
REACH	Get in touch with
HOLA	"Hi, José!"
NEATNIK	Slob's opposite
KEEP	Hang on to ... or a word that can precede either half of the answer to each starred clue
PLANT	Factory
PBJ	Common sandwich for a brown-bagger
LOO	W.C.
OPENHOUSE	*New neighbors event
PAR	3, 4 or 5, usually, for a golf hole
BOCCE	Italian bowling game
LARS	"___ and the Real Girl" (2007 film)
RILE	Irritate
JOKES	Some are practical
ARTY	Chichi
STEP	Interval on a scale
