TILE	Mah-jongg piece
TAMPA	Home of the Buccaneers
IVIES	Wall-climbing plants
LENAS	Horne and Olin
ERICA	Writer Jong
BELL	"Saved by the ___!"
BOGGLE	Stupefy
EDNA	Poet ___ St. Vincent Millay
LIAR	Tall tale teller
LEWD	Bawdy
ANGRY	Het up
AMINO	Certain acid
NED	Homer Simpson's neighbor
GLEECLUBS	Singing groups
REAL	Not imaginary
YELL	Cry
AVER	Declare
ODIE	"Garfield" dog
MELEE	Confused struggle
MINI	Small skirt
GNAW	Chew like a beaver
IDEAL	Perfect
PEACEGARDEN	North Dakota tourist attraction
EIGHT	Pieces of ___
ERNE	Sea eagle
ELL	Building annex
ASSAIL	Attack
ROTC	Campus military org.
TOQUE	Brimless hat
GERMAN	"Auf wiedersehen" wisher
RELAX	Kick back
MAIZE	Indian corn
ASSET	Good thing to have
OLGA	Gymnast Korbut
GIBE	Barbed remark
ADAS	Nabokov heroine and others
RAJAH	Indian prince
RAKE	Gather leaves
APAL	"Be ___!" ("Help me out!")
JOYBUZZER	Prankster's item
AREAS	Zones
EASE	Facility
QUID	British pound, informally
APORT	To the left side of a ship
LIS	Fleur-de-___
BUBBA	Good ol' boy's nickname
BYRON	Poet who originated the phrase "truth is stranger than fiction"
KAYE	Comedian Danny of "The Court Jester"
HAZE	Run pledges through the gantlet, say
HERO	Submarine
YESES	Positive replies
ELBA	Isle of exile for Napoleon
EXETER	English cathedral city
ELATED	Thrilled to death
USER	___-friendly
ELDER	Church V.I.P.
LOCALE	Neighborhood
CDROM	Modern multimedia tool
ALIBI	Accused's need
LEMON	Wretched car
ESSEN	City on the Ruhr
BIZ	Show ___ (Hollywood and such)
BOSC	Popular pear
IOTA	Infinitesimal amount
LOVEHANDLES	Fatty bulges
VAST	Infinite
ERIE	Lake that feeds Niagara Falls
HATE	Abhor
OOZED	Seeped
EVE	Apple picker
ARAT	"I smell ___!"
RIMS	Nonglass parts of glasses
STEVE	Martin or McQueen
SITE	Position
OBOE	Woodwind
CARER	Person who gives a hoot
TEED	Miffed, with "off"
MINN	Neighbor of Wis.
