SWISS	Cheese choice
STRIPS	Comic page offerings
WEIGHT	Scale reading
INDOOR	Not outside
SSE	Memphis-to-Mobile dir.
SESTINA	Troubadour's six-stanza verse
CAB	It's no free ride
CLAY	Pot composition
AEGIS	Sponsorship
BEANPOLE	Gardener's vine support
MOLLS	Gangster gals
MED	Dr.'s field
OLIOS	Stews
LINGERIE	Common Valentine's Day gift
LOGE	Theater section
STYE	Eye ailment
TENSE	Like a Hitchcock audience, typically
LEE	Grant opponent
ELIOT	Poet T. S. ___
RIDES	Hitchhikers' needs
AGA	Turkish chief
DINGY	Not completely white anymore
IGO	"Where did ___ wrong?"
TRYING	Testing, as one's patience
RAGS	Lively piano pieces
GATO	Córdoba cat
OGEE	S-shaped molding
PHOBIA	Fear
BOSSA	___ nova (1960's dance)
SPARSE	Scant
RCA	Zenith competitor
STRONG	Like 90 proof liquor
OTC	Non-Rx
RRS	Four Monopoly properties: Abbr.
RNS	Surgical assts.
SGT	___ Snorkel
SAS	European carrier
GLOATING	Bad winner's behavior
GSA	Fed. purchasing org.
TWAIN	Wit who wrote "When in doubt, tell the truth"
BOSS	"Who's the ___?"
BRO	Sis's sib
OUR	Your and my
STEAMING	Hot under the collar
ESE	Peking or Siam suffix
EGGSHELL	Shade of white
WEST	Direction for a wagon train
RUTABAGA	Large turnip
BBC	U.K. radio and TV inits.
AUER	Violinist Leopold
ATA	___ good clip
ACRO	Prefix with 25-Across
TRESTLE	Railroad support
ORE	Valuable rock
BUG	Spying device
CRITIC	Reviewer
TALENT	Skill
IMPAIR	Damage
CESSNA	Business jet maker
ACCESS	Outsiders may not get it
CONGO	Zaire, now
SIREE	"Yes ___, Bob!"
RENAME	Put a new handle on
ELMO	Ticklish muppet
ESSA	She, in Roma
LAIR	Bandit's refuge
RHINOS	Thick-skinned critters
NEXT	Call in a bakery
LPS	33 1/3 r.p.m. spinners
SAINT	Many a pope
TET	Holiday in Vietnam
ERE	Before, in poetry
THEAS	California team [and 18 letters in the grid to circle ... and then connect using three lines]
HEX	Bewitch
SINGE	Lightly burn
LEX	N.Y.C. ave. between Park and Third
LENIN	Red Square notable
ARGOT	Gang's slanguage
LET	Allow
EXTRA	Newsboy's shout of old
