MOCHA	Coffee with body
MCCC	1300 on a cornerstone
ORAL	Spoken
COPA	Nightclub in a Manilow song
HOTDOGS	Ballpark vendors' offerings
ANA	Actress ___ Alicia
GARBO	Greta who said, "I vant to be alone"
GANDHI	The Father of India
AGHA	Turkish leader
ROOS	Down Under hoppers
BRO	Friend in the 'hood
OAKTREE	Yellow ribbon site
SPA	Relaxing resort
SCOPE	Listerine alternative
PARIS	Plaster of ___
ALERT	Warn
CROON	Sing like Crosby
AGORA	Ancient Greek marketplace
CAL	President Coolidge
CAPTAINHOOK	"Peter Pan" villain
IRON	Multivitamin supplement
ORE	Assayer's material
CLAD	Dressed
RDAS	Suggestions on food labels: Abbr.
TAPIR	Three-toed animal
AILS	Is not well
OHOH	"There's a problem!"
HIE	Hasten
PRIEST	Flock leader
PEND	Remain unsettled
VIRGINIAREEL	Country dance
VAST	Widespread
IBAR	Letter-shaped building beam
RAGU	Pasta sauce maker
ALARM	Security feature
RON	Howard of "Happy Days"
ABASE	Demean
LONESOME	Missing companionship
OJAI	City east of Santa Barbara
MORN	"September ___" (Neil Diamond hit)
ETTE	Suffix with disk or novel
SAG	Droop
STAND	Cope with
SISI	Answer to a señor
TEE	Golfer's gadget
JOT	Write quickly
TRUSTIER	More reliable
SASE	Business letter encl.
TSARDOM	Russian ruler's domain
OPART	Abstract visual images
OYS	Pained cries
PLEDGES	Fraternity candidates
ASSEMBLYLINE	Efficient manufacturing process
BRINGS	Fetches
LILI	Title role for Leslie Caron
BONSAI	Dwarfed tree
BIGOT	Intolerant one
OCALA	City between Gainesville and Orlando
NIGER	West African river
RISE	Ascent
ICIER	Less cordial
EVIL	Fiendish
EVAN	Novelist Hunter
VINE	Climber
DALI	Artist Salvador
ARES	Son of Hera
LOVE	Honey
IDES	Fateful day in March
GAG	Comic's bit
DIVININGROD	Water locator
IRA	A Gershwin brother
NRA	Gun owners' grp.
OLE	Encouragement at the bullring
ORANG	Big ape
REEVE	Christopher who played the Man of Steel
TAR	___ and feather
MANES	Horse features
ASSES	Horse relatives
