ELSA	Literary lioness
EPIC	Colossal, filmwise
LASH	Punishment unit
SLUR	Talk like a tosspot
ASPIC	Savory jelly
LAGO	Titicaca, por ejemplo
LENTENROSE	One who blossoms in spring?
AROMAS	Bouquets
GOTAT	Reached
ODES	Poems with "To" in their titles
CBER	Person with a handle
CADRE	Training group
BLOODYMARY	Sunday brunch regular?
EVIL	Sermon topic
RAT	See 41-Across
PALS	People to hang with
ERODE	Wear down
ESC	PC "oops" key
ALVA	Edison's middle name
ISUP	"The jig ___!"
NOTES	Cliffs ___ (study aids)
DOIT	Exclamation after "What are you waiting for?"
CHRISTMASCAROL	December singer?
SHUE	Cage's "Leaving Las Vegas" co-star
ALID	"Put ___ on it!"
CHEAT	Not play fair
LED	Blazed a trail
HOW	Hollywood Indian's word
HONDA	Accord maker
OBIES	Drama awards since 1955
WITCHHAZEL	Helper with sprains and bruises?
UNS	Young ___ (tads)
AMI	Friend of François
ACE	Duffer's dream
MANLYGRACE	Tomboyish one?
YAW	Deviate from a direct course
AILED	Had a bug
WALLS	Jericho features
OBITER	___ dictum
TEL	No. on a business card
ACADEMIA	Dean's world
ATE	Downed
EMU	Outback runner
NITE	Nick at ___
OATEN	Like Cheerios
ASE	Enzyme suffix
MALL	With 12-Down, a modern idler
DECLASSE	No longer chic
AGOB	Lots
LAUREL	Winner's crown
ASAP	Urgent notation
ASH	Bat wood
GEE	"How about that!"
CYS	Songwriter Coleman et al.
CRETIN	Hardly a Mensa candidate
YDS	Gridiron divs.
HOO	Boo follower
OMEGA	Horseshoe-shaped letter
ORGAN	Word with house or mouth
OGLER	Leer-y one?
NABOB	Moneybags
HAMBURGERPATTY	Fast-food addict?
HOPI	Pueblo Indian
UDO	Widmark's role in "Kiss of Death"
RELO	Move, in Realtor lingo
TAXI	Rainy day rarity
TMEN	Many Feds
YANG	Yin's complement
DOZE	Drop off
DAG	Nobelist Hammarskjöld
DELTA	Triangular formation
BAMA	The Crimson Tide, for short
APEG	Take down ___ (humble)
OLEIC	___ acid (soap ingredient)
OXEN	They have pull
GILA	Kind of monster
ORNE	Caen's river
BING	Cherry variety
