ADAM	"Fall" guy
ASST	Part of T.A.: Abbr.
DICE	Parcheesi pair
ADEN	Mideast's Gulf of ___
MEN	Loo sign
CROWD	Three, it's said
CLOSES	Winds up
REFER	Direct, as for info
OMAR	Actor Epps
WON	Took all the marbles
DNA	Double-helix material
TOTE	Saks sack, say
TACOMA	Puget Sound city
OVER	Frequent word from ham operators
TINT	TV control
ESTA	"Cómo ___ usted?"
SIDE	Fries or slaw
LEMON	Slot machine fruit
AVIS	Enterprise alternative
SCENEOFANACCENT	E.S.L. class, perhaps?
EURO	Lira's replacement
CARTEL	OPEC, e.g.
TEN	Our base system
USER	Word before fee or group
AORTA	Main line
BRER	Harris's ___ Rabbit
BRAT	Kid you might feel like smacking
PERM	It'll curl your hair
PARTY	Kegger, e.g.
ELLA	First name in scat
REPROS	They're not original
RACED	Did a 10K, e.g.
ERODE	Eat away
PINUP	Locker photo, maybe
SALTAWAY	Save for a rainy day
SENDS	Thrills
WAIVE	Give up
ALVIN	Chipmunk of pop music
YIELD	Give up
ARIA	Diva's delivery
MERLE	With 44-Down, "Wuthering Heights" actress
MEETS	Track team schedule
ALI	Title role for Will Smith
CONTINENTALDIVE	Seedy hangout across the Atlantic?
INSANE	Out of one's mind
NEIN	Ja's opposite
DEFY	Go against
EDU	Web address ending
NEEDY	Down-and-out
EVIL	Demon's doing
DEPOSITS	Bank receipts
OBERON	See 34-Across
DEFEND	Go to bat for
DENSER	Less astute
ELEE	Gen. Robt. ___
BANS	Makes verboten
RELY	Depend
RINSE	Shampoo bottle instruction
PREEN	Primp
PROP	Telephone on a stage, e.g.
RARE	Pink inside
EPEE	Blunted blade
NINE	Supreme Court count
NOID	Reason to be barred from a bar ... or the theme of this puzzle
THE	Everyday article
TELE	Start to communicate?
HAIR	"Aquarius" musical
EMIL	Disney's "___ and the Detectives"
RAPRESPONSETEAM	Hip-hop critics?
SAS	Carrier to Bergen
PRE	Opposite of post-
TAP	Bill (Bojangles) Robinson's forte
OREO	Cookie with its name on it
ARISE	Get off one's behind
ALII	Et ___
PEEN	Hammer part
SEDER	Meal with readings
PERL	1995 Physics Nobelist Martin L. ___
