PALPS	Bug detection devices?
PARTV	Final section of T. S. Eliot's "The Waste Land"
ALEVE	Brand with the slogan "All Day Strong"
LIBIS	Teen drivers?
PAULSON	Geithner's predecessor at Treasury
SST	"Bird" with a flexible nose
ARAB	Yemeni, for one
ALDA	"Crimes and Misdemeanors" actor, 1989
ROIS	Gâteau des ___ (Mardi Gras dessert)
ADDS	Kicks in
BEGET	Spawn
AMPM	Red indication on a clock radio
ATROPOS	Mythological thread-cutter
MAIFHONOR	Shower holder
PROFANERS	Sacrilegious types
MSS	Freelance output: Abbr.
ALIAS	O. Henry, e.g.
LODESTARS	Navigational reference points
SEDONA	Red Rock State Park location
REBUT	Answer
DIDGERIOS	Native Australian winds
TVIL	Davy Jones or any other Monkee
PASSEDOFF	Relayed (to)
PLACI	Spanish man's name that means "peaceful"
VESSEL	Oiler or liner
EKE	Just get (by)
TOPHAT	Bowler alternative
TERR	Can.'s Northwest ___
OKAPIS	Inhabitants of central African rain forests
PAIFF	Bribed
ISIRA	George Sand title heroine
SKIOS	Some snowmobiles
NOONE	Nary a soul
WINECASK	Tun
WORTHALOT	Dear
IPURITANI	Bellini opera set in the English Civil War
ASNER	Only actor to win a comedy and drama Emmy for the same character
SOP	Drench
STAC	Short and disconnected: Abbr.
IIIII	Abba hit of 1976
ITTER	Punctilious type, slangily
ORR	Yossarian's tentmate in "Catch-22"
TRUSS	Wooden or metal framework
SILENTR	February 4th, to some?
SAIKTO	Accepted
FROTHERS	Implements in a coffee shop
HEN	Chick magnet?
ERRATUM	Slip
ATRIA	Lobbies, often
FASTER	Less leisurely
CHILIG	Ballpark fare
GOFOR	Fetch
ENRAPT	Engaged, and then some
ASAMI	"Same here"
PERIT	Birthstone for most Leos
TARRY	Be a slowpoke
ATEKOSHER	Shunned shellfish, say
SONO	"I am," in Italy
HOES	They might break up a plot
EDDY	Turning point?
ASEA	Aboard a 21-Across, maybe
PLANTFOOD	You might get it at a nursery
PPS	"Also, I almost forgot ...": Abbr.
STARR	"It Don't Come Easy" singer, 1971
SHA	Doo-wop syllable
PONTOONED	Nautically equipped, in a way
HUMIR	Good place for a smoke
STIR	Incite
ROSY	"Dawn of the ___ fingers ...": The Odyssey
AMITY	Opposite of hatred
