JEW	Yeshiva student
JUG	Water holder
EVA	Actress Mendes
WAR	Drug ___
CHIRP	Happy sound
CBGB	Old N.Y.C. club said to be the birthplace of punk
HAYING	Harvesting for fodder
INGEAR	Ready to roll
RDA	Vitamin abbr.
POX	Chicken ___
WIGGY	Crazy excited
WSJ	Financial daily, in brief
INANER	More ridiculous
GASOLINETAX	Levy at a BP or 69-Across station
GROG	Part of an old Royal Navy ration
YENS	Urges
UVA	The Cavaliers of the N.C.A.A.
BANDO	Railroad between Illinois and Atlantic avenues
SNARE	Bag
GARYGYGAX	Co-creator of Dungeons & Dragons
YOYOS	Dingbats
JASON	N.B.A. star point guard Kidd
OBIE	Award since 1956
NOGS	Holiday servings
CAGY	Sly
COMET	Streaker seen at night
ALEKEG	Pub container
GENERATIONX	Thirtysomethings
NAPS	Is off guard
PATELLA	Femur neighbor
SNIT	Lather
EEL	Fish whose skin is sometimes used for leather
EPOXY	Sticker?
OLEO	Spread selection
GRANDPRIX	French auto race
DRE	"Forgot About ___" (2000 Grammy-winning rap song)
XYLENE	Compound used in aviation fuel
MENSA	Its gatherings are smart things to attend
AGARN	"F Troop" corporal
TIRO	Beginner: Var.
NYM	N.L. team, on scoreboards
MOSES	Michelangelo sculpture on a biblical subject
EKE	Squeeze (out)
GORETEX	Trademarked brand of waterproof fabric
ONE	Billy Martin, for the Yankees
RIFF	Musical phrase
ELO	Grp. with the 1979 hit "Don't Bring Me Down"
TER	Rx specification
ANIL	Indigo dye source
YATES	"Revolutionary Road" novelist Richard
ABEAM	Crosswise to a ship's keel
GAGREFLEX	Palate-raising response
GETSTO	Irritates
ENDMEN	Minstrel show figures
XGAMES	Annual event that includes motocross
BANE	Scourge
TEN	Sawbuck
FANG	Snake's bioweapon
EXES	Splitsville parties
GAIT	Walk, e.g.
GIVE	Say "Uncle!"
ALEX	"I'll take 'The New York Times Crossword Puzzle' for $200, ___"
DATA	Raw material?
TOME	It may need a big jacket
ILOST	Weird Al Yankovic's "___ on Jeopardy"
TIN	Word before ear or horn
GUMMOMARX	Vaudeville brother born Milton
GAT	Bit of "hardware"
UKE	HI-strung instrument?
APB	Police radio message: Abbr.
RIO	"Road to ___" (1947 flick)
XXX	Turkey, to a bowler
VENTI	Starbucks size
AKEEM	Eddie Murphy's role in "Coming to America"
PIX	Fotos
EXXON	BP competitor
TENSE	Ex-lax?
BOX	Cuff
