ASPS	Nile slitherers
ADMIT	Own up to
SOUTH	Pole position?
POSSE	Group that's rounded up
SRI	___ Lanka
COON	Masked critter
CHOOSERS	Picky people?
OAFS	Meatheads
OFTEN	"Come here ___?"
NTH	Extreme
UPFOR	Expecting, as a raise
USHERING	Leading down the aisle
PEEN	Hammer part
FLA	It has many keys: Abbr.
OER	Anthem preposition
RST	Queue after Q
DOOR	Opportunity, so to speak
HAFT	Dagger handle
SELES	Monica of the courts
MUSICOFTHEHEART	1999 Meryl Streep movie
CHIN	Goatee site
EYED	Gave the once-over
ITS	"___ not fair!"
HOSE	Gardener's need
YEN	Craving
THESIS	Master's requirement, often
SKYLAB	First U.S. space station
NLER	Met or Card, for short
LEHRER	McNeil's longtime news partner
STL	Gateway Arch city: Abbr.
SLEEK	Built for speed
TENDS	Looks after
LSD	60's turn-on
KNEE	Midleg
EASTER	Egg roll time
EDIBLES	Viands
BOGOTA	Colombia's capital
NAY	Negative vote
NAOMI	One of the Judds
ATTIC	Storage spot
RASH	Foolhardy
SHH	"Quiet, please!"
NOEND	Interminably
ATLASSHRUGGED	Ayn Rand book
ALLEYCAT	Back street prowler
UNUSEDTO	Not familiar with
TOTAL	Out-and-out
TAT	Make lace
THEN	Accordingly
OKS	Gives the nod
AMIBLUE	Ethel Waters classic
URSA	___ Minor
RUST	Fall shade
SCOW	Flat-bottomed boat
TIC	Twitch
ERRS	Shows one's human side
SOLON	Wise lawgiver
SCALES	Things with ___ (theme of this puzzle)
LANCE	Cyclist Armstrong
ELDER	Respected one
SPADE	Gardener's need
OYS	Yiddish plaints
OHNO	"It can't be!"
OLEO	Bread spread
LEFT	Took off
ALP	Matterhorn, e.g.
FISHCALLEDWANDA	1988 John Cleese movie, with "A"
FAT	"___ chance!"
IRA	Lyrical Gershwin
SER	Sun. talk
LSU	Baton Rouge sch.
AIM	Prepare to shoot
ARENA	Action spot
SOFT	Easily molded
ICED	Bumped off
TAROT	Fortuneteller's card
UNTO	Golden rule word
MERE	Nothing more than
