EMIR	Hereditary prince
ETAL	Substitute for unmentioned text
MILA	Uris's "___ 18"
IDLY	One way to stand by
REFS	Judges
HALF	One of two, e.g.
HORSEY	Rocker, in kiddie-talk
AVOID	Bypass
LEND	Allow to use
FREEZEOUT	Complete exclusion
TUGAT	Pull on
TANGRAM	Seven-piece Chinese puzzle
UTILITYMAN	Flexible baseball player
GREASEGUNS	Lubricators
AILS	"What ___ you?" (doc's query)
TASS	Putin quoter
TIDESOVER	Helps for a time
SOARED	Zoomed
ATRIA	Places in the heart
ALLFORONE	Start of a famous motto from literature
NIELS	Farley Granger's role in "Hans Christian Andersen"
LAYSASIDE	Tables
GLASS	Tallboy, e.g.
RED	Indian ___
ZORIS	Japanese sandals
OTOE	Some Sooners
ELREY	Juan Carlos, to his people
ERROR	Wrongdoing
LOOKEDUPON	Regarded
ROSEPETALS	Composition of a proverbial soft bed
BETATEST	Electronic trial
BLEAT	Vocal complaint
SURGE	Computer hazard
TSKS	They're intended to instill shame
DROOD	Fictional Edwin
DEPP	"Ed Wood" title role player
GLOOMYGUS	Sourpuss
GUNNYSACK	Big bag
EROS	Where the NEAR space probe landed
QUEUE	Line up
QUIT	Bail out
MURK	Darkness
POKEFUNAT	Ridicule
FRIZZLE	Form into small, crisp curls
HANGS	Is at the end of one's rope?
HEXERS	Good spellers?
PREPRINT	Advance portion of a book or magazine
CENSE	Perfume
CARTEL	Trustbuster's concern
DEITY	Pan, e.g.
JAX	Florida football team, on a 44-Across
JOSIE	Actress Bissett
STUTZ	Early automaker Harry C. ___
STAT	Temperature regulator, informally
TOTE	Convey
SCORECARD	Record keeper
CURE	Pickle
CAWS	Avian sounds
ALOU	Jesus, for one
RILE	Get to
DAFT	Crackers
TOPAZ	Dark orange-yellow
AUSTRALIA	1983 America's Cup winner
ATOLL	Good snorkeling site
CRIESWOLF	Gives a false alarm
TENSE	Like a game overtime
KEEL	The constellation Carina
SUET	Pudding ingredient
