CADS	Poor dating prospects
CAGE	Part of a pound
AWAY	Out
DOZE	Siesta
SLACKEN	Abate
CHAD	Central Africa's Lake ___
CREATE	Hatch
HAGUE	Global legal venue, with "The"
AROD	Yankee nickname starting in 2004
DESIARNAZ	1940s-'50s film/TV star with two stars on the Hollywood Walk of Fame
CREST	Place for a motto
CRISIS	Cause for using a hot line
ROC	Sinbad's avian attacker
EYETHEJURY	Classic 1947 detective novel
SCAN	Process, in a way, as documents
TEXT	Transcript
AWOL	M.P.'s quarry
RARE	Bloody, so to speak
ROYCE	Early British automaker Henry
GAZA	Hot strip?
EGOS	Washington has some big ones
ICEAX	Mountaineering equipment
EYECLAUDIUS	Historical 1976 miniseries
LIVES	Biographies
UNION	___ Station
TNT	C7H5N3O6
KITE	Toy at the beach
ANIGH	Close, old-style
GPO	Delivery notation: Abbr.
SLEEVE	Record holder
SWAP	Give and take
LAPEL	It's sometimes grabbed
EYELIKEIKE	Bygone political slogan
CRISPER	Refrigerator part
CARDS	'06 Series winner
RANEE	Eastern royal
WAYNE	Big name in Gotham City
SANO	"Mens sana in corpore ___"
SPONGEBOB	Title TV character in Bikini Bottom
OJAI	California's ___ Music Festival, since 1947
ICED	Put away
APE	Goon
SOPRANO	Juliet, e.g., in Gounod's "Romeo and Juliet"
OLEIN	Liquid fat
OSTEO	Prefix with sclerosis
UNC	Chapel Hill sch.
PELE	Only player to be part of three World Cup-winning teams
ESL	Night school class, for short
LODZ	Poland's second-largest city
SPREE	Tear
PATROLS	Soldiers' jobs
LISTENS	Obeys
TEASER	Come-on
STAYED	Didn't raise
SOFTON	Not punishing sufficiently
KLEIG	___ light: Var.
POET	Lay person?
PETER	One of the "Brady Bunch" kids
AWE	Reverence
ASPS	Cold-blooded killers
WHET	Stimulate
ANEYEFORANI	Punny hint to answering 20-Across, 11-Down and 29-Down
YULE	Holiday season
AREA	Quarter
NEAL	"Hud" Oscar winner
IONS	Ones with charges
SHIPS	Sends
POE	Writer who wrote "I became insane, with long intervals of horrible sanity"
BUTT	Object of ridicule
OREO	After-lunch bite
PEKOE	Black tea
OLEO	Stick on a dish
LEAN	Scraggy
STEER	It may be rounded up in a roundup
BERN	European capital
SALS	"Do the Right Thing" pizzeria
