FUMES	Vapors
FTD	Co. with a blooming business?
URI	Spoon-bending Geller
MISTERED	1960s sitcom with a talking palomino
ETCH	Engrave glass with acid
STORM	Nor'easter, for one
SWAPS	Trades
SPEEDO	Big name in small swimwear
WAR	Hell, to General Sherman
ABC	"Dancing With the Stars" network
PLOT	Secret plan
SODA	Scotch's partner
JFK	Alternative to La Guardia or Newark, in brief
JEMIMA	Aunt known for her pancakes
FLORIN	Old European gold coin
KINSEY	Sex authority Alfred
TRITT	Travis who sang "T-R-O-U-B-L-E"
PABLO	Picasso or Casals
ELI	Peyton Manning's brother
DISCOVERCOD	Try a North Atlantic fish for the first time?
VEEP	Prez's #2
MON	Jamaican term of address
THREE	Afternoon hour
TAPIRS	Rhino relatives with long snouts
PAPAYAS	Melonlike tropical fruits
THE	"I'll alert ___": Hobson, in "Arthur" (with 25-Across)
TGIF	Letters said with a shout
HIDE	Camouflage
MEDIA	See 23-Across
ITS	The "I" in 23-Down
ACED	Got a perfect score on
AMIE	French girlfriend
GIRD	Bind with a belt
DEEPEND	Where to find the diving board
POTCOMPANY	Ekco or Farberware?
OPE	Unlock, in poetry
MINN	Wisc. neighbor
IDEES	Notions, in Nantes
SRAS	Ladies of Spain: Abbr.
SEPIA	Old photo color
FEDERAL	Part of F.B.I.
APU	Storekeeper on "The Simpsons"
LAPP	Dweller above the Arctic Circle
DENYING	Turning down
IVEGOTIT	"Eureka!"
NEMO	Nautilus captain
GLIB	Insincerely eloquent
PAPAL	Like a visit from Benedict XVI, e.g.
LOL	I.M. snicker
NAVEL	Middle of the abdomen
TAKESUPOMS	Registers for a meditation class?
TOWING	A.A.A. activity
AMIDST	Surrounded by
KANSAS	"The Wizard of Oz" setting
MEASLY	Paltry
SASH	Miss America accessory
SEMI	Big rig
OMAN	Its capital is Muscat
PLEAS	Defendants enter them
STOMA	Leaf opening
GOB	Hunk
WINDOW	Airplane seating request
OSHA	Workers' protection agcy.
WHAT	"Say again?"
ASTRO	Houston baseballer
ROAR	Lion's warning
IDS	They're checked at checkpoints, briefly
SHOPSHOOTER	Store photographer?
OMB	Govt. book balancer
PEA	Podded plant
ENO	British musician Brian
REO	___ Speedwagon
NSA	Code-breaking org.
HAMEL	"Hill Street Blues" actress Veronica
MAINE	Augusta's home
GTS	Fast sports cars
ATBAY	Cornered
ARTOO	___-Detoo ... or, when read in three parts, a hint to 17-, 31-, 47- and 63-Across
