POPS	The old man
PEEP	Slightest sound
OVER	No longer disturbed by
PACE	Eight minutes/mile in a marathon is a good one
SNUFFBOX	Ornamental tobacco holder
LEAST	Bare minimum
LAMBDA	Letter resembling an inverted "V"
EMI	___ Group ("big four" record co.)
ANN	One of Heart's Wilson sisters
SIGHS	Heaved sounds
TOSH	Brit's "Baloney!"
SOLI	Arias, e.g.
STRUNK	"The Elements of Style" co-author
OMENII	Subtitle of 1978's "Damien"
LEBRON	Former Cavalier James
INSONG	How Broadway characters may break out
EVAN	"Thirteen" actress ___ Rachel Wood
AMNIO	Ob/gyn test
TMEN	Eliot Ness and cohorts
EECUMMINGS	"anyone lived in a pretty how town" poet
MAURY	TV host Povich
REBS	Manassas fighters
PREFAB	Modular, as a home
HHMUNRO	Author better known as Saki
MOBS	Crowds around
FUDGES	Fakes, as figures
GMATS	Hurdles for M.B.A. hopefuls
ESCROWS	Third-party accounts
ONION	Whopper topper
JJABRAMS	"Star Trek" director, 2009
JLO	"Selena" star, familiarly
JEN	Aniston, in tabloids
ARY	Suffix with vision
BBKING	"The Thrill Is Gone" bluesman
BTW	"Incidentally," to texters
LEROY	"Bad, bad" Brown of song
ACCTS	Banking nos.
CANWE	Eager kids' query to parents
ONYX	Cameo gem
STRAW	Juice box go-with
SIN	Ugly as ___
RAJA	Big Indian
RICOTTAS	Ravioli fillings
AGO	Back in time
JEB	Brother of W.
ARS	"___ Poetica"
BISON	Animals in a Western herd
BAAL	Jezebel's god
NIGER	Neighbor of Chad
NADIA	Gymnast Comaneci
LLBEAN	Big name in mail order
LLAMAS	Andean wool sources
LEARNT	Found out, British-style
BIMINI	Fountain of Youth site, it's said
ELISIR	"L'___ d'Amore" (Donizetti opera)
WWJACOBS	"The Monkey's Paw" author
JUMBOS	747 and Airbus A380, as jets go
LEILA	Heroine in Bizet's "The Pearl Fishers"
PSEUDO	Not real
PECAN	Praline nut
AAMILNE	Creator of Eeyore
NCIS	CBS military drama
MITTEN	One of a winter pair
THAW	Warming trend
EIRE	Limerick's land
NAPE	Target of a rabbit punch
MRIS	Some med. scans
CCSABATHIA	2007 A.L. Cy Young winner
SMA	Wee, to Burns
ASP	Cleopatra biter
ANNI	Years, in Rome
IAMSO	"___ dead!" (worried teen's words)
AARP	Srs.' lobby
STIR	Cookbook instruction
SNAPS	Grid play starters
SWEE	___' Pea
