BANJO	It may be hand-picked
BOFF	Big Broadway hit
ACRE	It might be a lot
NEUT	Neither masc. nor fem.
JASCHA	Violinist Heifetz
ONTHESLY	Surreptitiously
LOCAL	Not express
LOAD	Whites or darks, say
OCT	Mo. of Indigenous Peoples Day
CHI	Christogram part
AROAR	Bellowing
LENGTH	Extent
MUM	"The word"
MENTALNOTE	Internal memo?
UNPEG	Let off the hook?
MORSE	Robert who won a Tony for "How to Succeed in Business Without Really Trying"
OCEAN	Deep blue
OCHRE	Earthy tone
ENO	Brian who produced or co-produced seven U2 albums
FRUSTRATION	Feeling of nonfulfillment
REX	Kingly title in Latin
NPR	"Wait Wait ... Don't Tell Me!" network
FETCHED	Went for, at an auction
AGATES	Playing marbles
AGAIN	Another time
HEX	Case of bad spelling?
MORTGAGE	Frequent home acquisition
MUSTARD	Colonel suspected of murder
ORGANS	Hearts, e.g.
ACTAS	Fill in for
AMIE	French girlfriend
COTS	Barracks lineup
TEMPTSFATE	Maybe takes one risk too many
SUR	Big ___
STELMO	Sailor's patron
HAL	Friend of Falstaff
MOE	Szyslak of Springfield
LETSGO	"Come on, pack your stuff ...!"
EBB	Recede
OKD	Rubber-stamped
INKS	Signs
KUHN	Former baseball commissioner Bowie
STET	"Leave it in" mark
ITMAYBETAKENOUT	Statement about 17-, 24-, 49- and 59-Across
ANITA	"Clear Light of Day" author Desai
EASTLYME	Town near New London, Conn.
ESPN	"Baseball Tonight" network
BLANDA	Hall-of-Fame QB/kicker George
THE	With 45-Down, "Trust No One" series
TIX	Fandango offerings, slangily
XFILES	See 43-Across
MRS	"___ Dalloway"
STENT	Arterial implant
TRIBAL	Like "Survivor" councils
FASTFOOD	Burgers and fries, often
FUNGO	Bat used for fielding practice
ANION	Chloride or carbonate
ORIBI	Graceful African antelope
STR	Orch. section
SER	Homily: Abbr.
UNFAIR	Aggrieved person's cry, maybe
MELINDA	Bill & ___ Gates Foundation
MAYI	Polite request for permission
NOIR	Hard-boiled, in a way
DOZE	Nod off
AKEY	"The House Without ___" (first Charlie Chan mystery)
NIA	"My Big Fat Greek Wedding" actress Vardalos
LIBRARYBOOK	Item that may have a date stamp
BON	___ mot
RNA	Uracil-containing macromolecule
GOT	Comprehended
EBONY	Like 36 piano keys
MAIZE	Original Thanksgiving fare
ONE	Cosine of 2 pi
SINAI	Where Moses received the Law
ELREY	Kingly title in Spanish
