LIANA	Jungle climber
LAS	Scale notes
IZE	Special ending?
ATV	Suzuki product: Abbr.
NEEDS	Paint and brush, for a painter
ACROSTIC	Word puzzle enjoyed by Queen Victoria
STAT	Suffix with rheo-
SSGT	Mil. rank
TORR	Unit of pressure
ALOE	Shaving cream additive
TOGA	Ancient wrap
BATH	Some like it hot
BEAMS	Teleports
ARIES	A natural leader, supposedly
TONNE	Heavy weight, in France
HOSTS	Animals, to bacteria
AZTEC	San Diego State University athlete
SOLO	Go off from a group
EROO	Switch add-on
SEVEREGROGPAINS	Limeys' hangovers?
EWER	Still-life figure
PTAS	Money-raising grps.
DOWTREATMENT	Presentation of a Wall Street index?
CHASSE	Gliding dance step
CHADS	Ballot detritus
HYDRA	Monster in the second labor of Hercules
APLAN	"Sounds like ___!"
ASSES	Obtuse ones
HYP	Connector of legs: Abbr.
TRASHES	Bad-mouths
ATNOS	7 for N, 8 for O, etc.
SOCKO	Extremely successful, in slang
HALER	More vigorous
EDU	U.R.L. ending
ADLAI	First name in old Illinois politics
AGE	Gray
TOAD	Herpetologist's catch
LVII	Third year of Nero's reign
LIU	"Turandot" soprano
VOGEL	1992 Obie-winning dramatist Paula
INALL	Leaving nothing out
ISTOO	"Not so!" retort
DRAGCONCLUSIONS	Hot-rodders' finales?
OPA	W.W. II agcy.
STATETAX	School funder, in part
SANE	Safe's partner
POKE	Prod
TUGAT	Pull on
LASORDA	He managed the U.S. to its first Olympic gold in baseball
LAWN	"For sale" sign site
DOHA	Capital east of Riyadh
ELO	"Evil Woman" grp.
AMANA	Company acquired by Maytag in 2001
AGNEW	Ford succeeded him
MOOLA	Cabbage
ANWAR	Egypt's Sadat
NEILS	Simon and Diamond
OTELLO	"Dio, mi potevi scagliar" singer
EDINA	Minnesota city
GONEWITHTHED	Expelled because of a low grade?
ISEE	"Uh-huh"
TIME	"The discoverer of all things": Cervantes
HTML	World Wide Web code
TUES	Calendar abbr.
NOWINSITUATIONS	Tough spots to be in … or what 17-, 20-, 38- and 53-Across represent?
OTC	Like some drugs: Abbr.
NOT	"Why ___?"
SNO	___-Caps (candy)
ELAL	Carrier whose name means "skyward"
EMME	One-named supermodel
ANTON	Composer Webern
WARS	Woden's domain
EELS	Some sushi fare
XACTO	Knife handle?
