MEDAL	Cross, maybe
MAYA	"Apocalypto" subject
EMER	Like some profs.
DISC	Wink in tiddlywinks, e.g.
ANYTHING	"Take your pick"
LEOII	Sainted pope of 682
ARIAS	Met expectations?
ARR	Airport sign abbr.
ROXY	Classic theater name
IOLA	Seat of Allen County, Kan.
ANNLEE	Shaker leader
SECLUDE	Shut off
SAFEHAVEN	Refuge
SADSONG	Dirge
ALOE	Natural balm
FEMA	Relief provider, for short
EXIT	Out
HANOI	Capital once known as Thang Long ("Ascending Dragon")
ANI	Cuckoo bird
VDOONDEMAND	Streaming content
ERNO	Composer Dohnányi
NASH	Ambassador or Statesman of old autodom
AMINE	Nitrogen compound
ROONE	TV exec Arledge
ALEXANDRA	Last czarina of Russia
YESYOURXLNC	"Absolutely, ambassador"
UCSB	Campus 100 miles NW of L.A.
DOMINIONS	Colonies, e.g.
ARCTIC	Frigid
YALL	Southern group address
SEATO	Alliance dissolved in 1977
OOH	"Wonderful!"
HIST	Pulitzer Prize subj.
TUNEDIN	Hip
EURO	Continental capital
RIN	Oysters ___ season
IGN	Starter: Abbr.
GASOLINE	Molotov cocktail component
BALI	Island with a Hindu majority
BULB	Onion, for one
ACNE	Teen trouble
LODE	Treasure-trove
BURNEDINFEG	Like some unpopular leaders
RURAL	Not built up
NSEC	Tiny time unit: Abbr.
FARAD	Capacitance measure
EGAN	Richard of old westerns and action films
GEN	Pentagon fig.
ADAS	Computer pioneer Lovelace and others
ARETOO	Playground retort
SARONG	It's a wrap
UCONN	The Huskies of the N.C.A.A.
NERVIEST	Most gutsy
NUS	Fraternity letters
ENGAGE	Captivate
SERA	Antivenins, e.g.
LNDGENERES	Award-winning TV host
NEROS	___ Circus (where St. Peter was crucified)
STEPIN	Enter
RANSOMER	Charles Lindbergh, once
SPARHAWK	Fictional knight named for a bird of prey
BEE	Buzzer
REDACT	Blue-pencil
LOAN	Advance
LANDAU	Carriage
ORC	Fabulous monster
PLATO	Academy head
AVRIL	Follower of mars
ALIENEES	Property recipients
ECARD	Modern greeting
CDE	Do, re, mi
GAINON	Narrow the gap with
GOTNO	"I've ___ Strings" (Pinocchio song)
SEALION	Marine mammal
SALINE	Like tears
ELICIT	Bring out
ALCATRAZSKP	Rare ex-prisoner
XPDNC	Advantageousness
XKE	Classic Jaguar
CORNDOG	Fair fare
CORNETS	Some horns
ALLIES	Friends
SKIED	Went downhill
STERN	Brooking no dissent
TOTHE	"___ ramparts!"
TAKEA	Lead-in to bow or hike
LICES	St.-Tropez's Place des ___
BTEN	Bingo call
BEAM	Show pride, in a way
AMARNA	Cuneiform discovery site
MNEM	Memory: Prefix
IAM	Cartesian conclusion
INRE	About
ATAD	Just barely
MTNS	Much of Colo.
ICANTSEE	"It's dark in here!"
SNL	"Mad TV" rival, for short
UNKNOWNNTT	x
NORTHBAY	Marin and Sonoma's region
NITE	Ad time
NARITA	Main international airport of Japan
ITSONME	"I'll get this"
TAO	Chinese "way"
ARMLOAD	Two bags of groceries, say
EEE	Width measure
KORAN	Holy text
ETRE	Raison d'___
LMNTARYMATH	1 + 1 = 2, e.g.
YABBER	Talk on and on, Down Under
HEAR	Get wind of
REDS	Great American Ball Park team
ASP	Death on the Nile cause, perhaps
PERSE	Intrinsically
SOMA	"Brave New World" drug
SEAT	Usher in
ATOLL	Ringlike formation
LAZ	___-Boy
LAMA	Priest of the East
ASAP	"Pronto"
EARTO	Keep an ___ the ground
ATRI	Longfellow's bell town
RIOS	Paraguay and others
TOOL	Cleaver or lever
LBOS	Some Wall St. deals
OCTO	Numerical prefix
STNS	RR stops
ATHENA	Daughter of Zeus
ELMO	Sailor's saint
NEIN	Ruhr refusal
AMAS	Latin 101 verb
ASSERTION	Claim
EEL	Reef dweller
OBCTPROBLEM	Weighty issue?
PAS	Not abroad
MAKESROOM	Scoots over
AETNA	Prudential competitor
LAMIA	Female demon
APPLEISLE	Nickname for Tasmania
DROSS	Waste
LYONS	City on the Rhone
