RADII	Arm bones
RAGTAG	Disheveled
ARIOSO	Bach piece
DESIST	Partner of cease
INTL	The "I" in IHOP: Abbr.
ITSA	"___ Long Way to Tipperary"
QTIP	Tiny swab
QANDA	Lecture follower, briefly
TROTS	Gaits slower than gallops
ICER	Cake decorator
POLO	Game on horseback
ATAT	Rat-___
ALLBUT	Nearly
TAILGATE	Follow too closely
AGREESON	Consents to
TSE	Mao ___-tung
ARENT	"___ We All?" (old show tune)
ARCO	With the bow, in music
LAGS	Falls behind
GISTS	Cores
NOEL	Christmas song
LIRE	Money in Milano
TOILANDTROUBLE	Witch's phrase, in "Macbeth"
NOMADIC	Wandering
UPS	Raises
ASS	Dolt
OAS	Alliance since 1948: Abbr.
PUGET	Washington's ___ Sound
TEND	Care for
GOTEAM	Pep rally cry
EDO	Old name for Tokyo
AER	___ Lingus
NASTASE	Tennis champ Ilie
NEWT	Former Speaker Gingrich
ATEINTO	Corroded
DEADSET	Resolutely
DANK	Moist, as a cellar
SYS	Method: Abbr.
TON	Bricks measure
LABORDAYWEEKEND	End of beach season, to many
LEST	For fear that
AWAYWEGO	Jackie Gleason catchphrase, with "And"
BEDROLLS	Sleeping bags
ELO	"Telephone Line" rock grp.
KLM	Carrier to Amsterdam
EWE	Sheep-ish one
INSTILL	Impart, as values
SADSACK	Pathetic bumbler
SORTIE	Troop movement
ASK	Request
NOMAAM	Polite turndown
ALEXIS	French writer ___ de Tocqueville
ASSENT	Concurrence
MUSSES	Disarranges, as the hair
TYROS	Beginners
EDT	Summer hours in Pa.
EPSOM	England's ___ Downs
DRONE	Unengaging speaking voice
LSU	Baton Rouge sch.
WORKINPROGRESS	Piece of unfinished business
ISIS	Egyptian fertility goddess
NORA	"Heartburn" author Ephron
GMAT	Coll. senior's hurdle
RILE	Anger, with "up"
BELT	It goes to waist
BUN	Hamburger helper?
SOSO	Deserving a C
MIXES	Integrates
UGLI	___ fruit
IRON	Nutrient in spinach
ALINE	Skirt style
NOSE	Boxer's punching spot
SAME	Ditto
TESTS	Midterms and finals
