ACETAL	Chemical used in perfumes
ASCAP	Rights org.
CAALA	Occult science
ERROR	Diamond flaw?
TINEA	Skin disease
ANA	Collected sayings
LALALA	Sung syllables
FLAMBE	Like bananas Foster
FLOZ	Abbr. on a soda bottle
LIMA	City founded by Pizarro
ANECOTIST	Storyteller
MEGAN	"Will & Grace" actress Mullally
BRAYERS	Upset donkeys, often
ESS	Winding path
CEDILLA	Façade part
CONAN	Cinematic barbarian
EXES	They've split
DOSIDOS	Barn dance moves
INTERN	Lewinsky was one
LIE	Tell it like it isn't
LAG	Not be up-to-date
ANG	Geom. measure
SARINA	1954 title role for Audrey Hepburn
LINERS	Pleasure trip vessels
OXONIAN	Clinton, once
CARNAL	Fleshly
OMEGAS	Socratic conclusions?
NESTEGG	Money in reserve
ALOE	Insect repellent ingredient
ANZACAY	April 25, Down Under
NETSALES	Store total
BASIE	"Swingin' the Blues" songwriter
BEEALOS	Low-fat meat providers
PARABLE	Passage with a moral
BESEECHES	Petitions
ONETEN	Early afternoon time
TENABLY	In a defensible manner
DRAMA	Pulitzer Prize category
ANTIAM	Preventing stoppages
MOROSE	Down in the dumps
ALEUTS	Unalaska residents
EATSAT	Bothers
SOLID	Unwavering
ALOT	Heaps
REE	Shipwreck cause, sometimes
LONNOL	Exiled Cambodian leader
LES	"___ Girls"
LIGTS	Christmas decorations
LIRR	Transportation to N.Y.C.
ISEE	"Amazing Grace" ending
GENT	Site of an 1814 treaty
TREACLES	Sweet toppings
SOLI	Featured vocalists' selections
SNAKES	Caduceus creatures
KEY	Cryptographer's need
TRE	Due follower
ISERE	Grenoble's department
ALOSS	At ___ (befuddled)
SLIMESS	Dieter's desire
ALES	Draft picks
BIOU	Dainty gem
BOATRACE	Regatta
RENEE	Oscar nominee Zellweger
LITTLEBOY	"When I was a ___ ..." (storyteller's start)
ESE	Suffix with telegraph
COAST	Hardly try
CHEESELOG	Edible holiday gift
RETACKED	Took on again, as a problem
KAR	Bright, to Brecht
ISLS	Archipelago makeup: Abbr.
SHAMES	Humiliates
SHO	Word with chop or swap
CHAS	Cartoonist Addams
ROMEY	Hardy English sheep
ROSSSEA	Arm of the Antarctic Ocean
OTT	Giants legend
CHET	The Hardy Boys' sidekick
COWARDLY	Yellow
AMBLER	Unrushed pedestrian
ATHENA	Parthenon honoree
MUDPIE	Rich chocolate dessert
BBQIBS	Entree covered with sauce
MOTE	Speck
MANEUER	Zig or zag, e.g.
COOERATE	Play ball
CANOE	Slalom craft
APOS	Deaf as ___
TILE	Parquet alternative
EDER	German river
TUBES	Bazookas, basically
LASTSTRAW	"I've had it!" inspiration
LEN	Sportscaster Berman
THENEWMEN	Marvel superhero group
RAFE	Ben Affleck, in "Pearl Harbor"
SAPID	Flavorful
HDQS	Command post: Abbr.
PENS	They may click with writers
PRE	Possessed leader?
SHANA	Journalist Alexander
ECOLE	Place for a professeur
EPI	It could be to the left of center
ARNESS	"Gunsmoke" star
ALREADY	"So soon?"
SANJOSE	Costa Rica's capital
EFOR	Give an ___ effort
LESER	"American Beauty" hero
NIBBLE	Bitty bite
BIDSON	Tries to buy
UEA	Pupil's place
NEEDTO	Must
TASMAN	17th-century explorer
AESIR	Group of gods led by Odin
SEANCE	Medium setting
SOARS	Goes hang-gliding
CARTE	Café handout
LAGASSE	Chef Emeril
ALDAS	Actors Robert and Antony
SOILS	Besmirches
SWAYE	"Camel News Caravan" host, 1949-56
EELER	Sushi bar supplier
DECOR	Designer's concern
CLEM	Red Skelton character
JAWRAYS	Dentists may take them
REES	Roger of "Cheers"
ARMY	Black Knights of college football
LOWE	Rob of "The West Wing"
MARSALA	Sweet Italian wine
MBE	U.K. honor
ARP	Cercle et Carré artist
ROO	Outback jumper
DORMER	Upstairs window
DET	N.Y.P.D. employee
MEDIAL	In the center
ENA	Character in "Bambi"
BROODER	Mopey one
ESTEEM	Put on a pedestal
ANALYE	Break down
EPONYMS	Léotard and Silhouette, e.g.
TEENSY	Peewee
NASSER	Egypt's Lake ___
