METAL	Tungsten, e.g.
MEGA	Super: Prefix
EXAM	Academic challenge
TILE	Glazed square
ALASKA	Eskimo's home
LESSON	Teacher's instruction
HAMS	Hickory-smoked items
HELGA	Hägar the Horrible's wife
ALIEN	Extraterrestrial
MALI	Bamako is its capital
SLINKY	American toy introduced in 1945
SCAM	Ensnaring scheme
STEPONIT	"Don't go so slow!"
COROT	Noted French landscapist
ADAPT	Establish new habits for
MOSEY	Walk slowly
EXILE	Goner?
ELAL	Overseas carrier
TODO	Opening words on an agenda
GALAS	Dos
LILI	Nude dancer St. Cyr
ERAS	Extended periods
AMESSAGEIN	With 38- and 56-Across, what's hidden in this puzzle
ARDOR	Strong liking
POPE	St. Peter was the first
KORAN	Islamic text
KNOTTY	Stubborn, as a problem
NAST	Illustrator who lampooned Tweed
ISLAND	Yap, for one, in the western Pacific
ITTY	Small word
SOHO	Tribeca is next to it
LEEK	Hot or cold soup ingredient
RYAN	O'Neal of "Love Story"
ROLL	Air maneuver
TOE	Unit smaller than a foot
OLIO	Varied group
LSTS	Transports in W.W. II: Abbr.
ITE	Tail on social or graph
SIZES	Extra-large and others
ZERO	Horrible grade on a test
ERSE	Irish relative
SSTS	Speedy fliers
THEFIRSTLETTERS	Second part of what's hidden
FEARLESS	Intrepid
ILLS	Societal woes
ELUDE	Avoid
YOKEL	Provincial one
TELL	Orally convey
RST	Trio after Q
ALAS	"Too bad"
ATONES	Lives as a penitent
UNDOES	Erases
NICHES	Little markets
DELANO	It's the "D" in a presidential monogram
HEARST	Diversified publishing giant
HADAT	Took on vigorously
ERICA	Heath plant
AIMER	Archer, at times
OLDIE	Tune from the past
OTTER	Sea ___
LHASA	Tibet's capital
ARIL	Husk
OFTHECLUES	End of what's hidden
FIVE	One in ___ (20%)
URDU	South Asians speak it
EPOS	"Aeneid," e.g.
SORE	Your throat might be this from yelling
DIME	Half of it is a nickel
NITA	Italian-American film vamp Naldi
HARPO	Dumb film brother
ACES	Decorated pilots
EVES	Expectant times
ENDOR	Necromancer's home, in the Bible
TARS	Mariners
SERA	Evening in Venezia
SOUSE	Swillpot
