JOKERS	Wags
JULEPS	Bourbon drinks
ORACLE	Wise counsel
KAY	Senator Hutchison
ELI	High priest at Shiloh
REN	Half a cartoon duo
SEG	Part of a line: Abbr.
SALTS	Jack-tars
SURER	More likely
ABORT	Halt
LOUD	Brightly colored
TAN	Summer shade
STD	Regular: Abbr.
SCALPED	Like some tickets
SHOOTPAR	Do about as expected
CAVAE	Venae ___
AVATAR	Embodiment
LAT	Cartographic fig.
PRINGLE	Snug snack item?
ETOILES	Ballet headliners
DINNERS	White House affairs
AURALEE	Song on which "Love Me Tender" is based
APES	Monkeys' uncles
UBOAT	One trying to avoid charges?
HAVARTI	Cheese with holes
PLAYINGAROUND	Golfing?
AHA	"Got ya!"
OVATION	People stand for this
EEC	U.S. trading partner
HERD	Thundering group
MOAT	Water under the bridge
MURRES	Black-and-white diving birds
NIN	Palindromic diarist
SPLITAPART	Share a role?
IDLES	Benches
TOES	Web site?
ANAS	Anthologies
PAD	Walk softly
ACUTEANGLE	A charming way to look at things?
AHS	Massage reactions
CAT	Jazz man
NUB	Essence
SEDONA	Arizona tourist locale
THARP	"Deuce Coupe" choreographer
TAKINGABACK	N.F.L. draft move?
RULER	It's for good measure
LEADINGASTRAY	Walking the dogie?
IRISH	March marchers
NET	Safety device
GEL	Piece of stage lighting
YOUNGS	Neil and Loretta
BESS	Brown ___ (old musket)
ABBESS	"The Sound of Music" figure
ALINES	Dress designs
BYROTE	How some learn
BERTHA	"Big" girl
REEK	Smell bad
EROS	Boy who's bowed
SRTAS	Muchachas: Abbr.
LYES	Cleaning cabinet supplies
HITLISTS	Assassins have them
HOTL	Lanford Wilson's "The ___ Baltimore"
SCH	M.I.T. or N.Y.U.
TOT	Little one
URBANE	Like 007
BIB	Chest protector
AGOUTI	Rodent that menaces sugar cane
NEURAL	Kind of pathway
ENTITY	Thing
IRR	Sale item abbr.
LAOS	Former monarchy
LOCAL	Dietary
ARABIA	"All the perfumes of ___...": Shak.
NCO	G.I.'s superior
ANTIGEN	Cause of an immune response
ANOD	"___ is as good as a wink"
NOTWORTHFIGHTINGABOUT	Irrelevant to Don King?
WIL	Actor Wheaton
FAR	Where the successful go
IDO	Words of commitment
IRENE	Singer Cara
ETHICAL	Upright
ADA	Initials on a toothpaste box
ROSS	Supreme leader
URI	The Rams of the Atlantic 10 Conf.
SEALAB	Aquanaut's place
PROBATED	Proved valid, in a way
PIANOS	Some bar features
AXE	Can
TOR	Anderson's "High ___"
STAT	"ER" order
SMYTH	Rocker Patty
LISI	Actress Virna
SWATTERS	Home-run hitters
AXON	Impulse transmitter
FAMILY	Kind of tree
FOES	Rivals
ANNA	Visitor to Siam
GLEE	Mirth
GRAVEST	Like a worst-case scenario
LECONTE	French poet ___ de Lisle
ENRAGES	Tees off
ETO	Verdun was in it once: Abbr.
AWARDCEREMONY	An event to honor the best hospital patient?
ROW	Scrape
DUN	Press for payment
MME	Marseilles Mrs.
RENTA	"___-Cop" (1988 film)
ASHAME	Sad news
ANOUK	Aimée from Paree
MENTHE	Crème de ___
HECATE	Witch's deity
EASIER	Not so punishing
ACROSSTOWN	An angry place to live?
SAVER	Relief pitcher
MOVESAHEAD	Rearranges the lettuce?
MOIRA	Ballerina Shearer
OWNER	Title name
VIA	Travel word
DANS	Marino and others
VOA	Broadcaster in many langs.
HATS	Bowlers
NOWI	Start of a prayer
NATO	Its HQ is in Brussels
CSA	Pres. Davis led it
ENGRAVE	Prepare, as a fancy invitation
RAT	Tattler
AGAINANDAGAIN	Two good N.F.L. plays?
AMA	Group the Surgeon Gen. addresses
GER	Part of the 25-Across: Abbr.
NBA	Jazz grp.
DEN	Lamp site
ART	Knack
GAL	___ Friday
STEAMER	Carpet cleaner
METRE	Scotland yard, approximately
BERATES	Puts down
TESTERS	Lab employees
AROAR	Like the surf
ANTLER	Hunter's trophy
