NAVIGABLE	Like major channels
NAT	Actor Pendleton
ACED	Shot one
VILE	Foul
IDES	April 13, e.g.
GUPPIES	Rainbow fish
ALHIRT	Pete Fountain collaborator
BOOTS	Fires
LUNE	Moon over my ami?
ESE	Abilene-to-Waco dir.
FINAL	Term ender
FEUDED	Quarreled bitterly
INMEMORIAM	Many a tribute title
NOBS	Wealthy Londoners
ALES	Round in the pub
LARA	Olympic skier Magoni
ACIDULOUS	Tartish
ENOLA	"Waterworld" girl
TELEPHONENUMBER	Singles bar acquisition
NOTION	Knickknack
DESPITE	Notwithstanding
ODESSA	Texas college or its locale
IRS	Kind of agent
STEM	Spoon handle
SATIN	Pillow material
SPINET	Upright
SOFT	Like 22-Down pillows
PAIRS	Luge event
ISLET	Mont-Saint-Michel, e.g.
NEMEANLION	Strangulation victim of myth
LAIDOFF	Dismissed
LAYER	___ cake
FONDA	"Julia" star
FATED	Without a choice in the matter
OASES	Palm Springs and others
NATO	Like some forces in the Balkans
NAVEL	Omphaloskepsis focus
ROAM	Range
MORE	Gourmand's wish
FILM	Eastman invention
PAYIN	Bank deposit, e.g.
POLLOI	Greek for "many"
INTO	Against
TREE	Relative diagram
OVEN	Dutch ___
NADER	1996 Green Party candidate for President
NEWLEFT	60's-70's political movement
STABLER	Quarterback known as "The Snake"
BELFRY	Where to spot a ringer
REMADE	Completely new
REDHOT	More than popular
NELL	Dudley Do-Right's love
DEW	Night deposit?
DONTS	Taboos
APOLLO	One of Rocky's rivals
ANTS	Sugar bowl team?
POUT	Displease Santa, in a way
OTTO	Conductor Luening
GODLESS	Hardly holy
GALA	Showy
ELLE	George Sand's "___ et lui"
SPUN	Centrifugalized
SITS	Isn't off one's rocker
NOTIFICANHELPIT	"Over my dead body!"
CAP	Diamond topper
TEE	Three-way joint
TUTOR	Give one-on-one help
ALTOFLUTE	Piccolo relative
STONY	Obdurate
PASTTENSE	You wouldn't want to be in this!
