EQUINE	Like an ass
ELS	Noisy transports
QUE	N.Y. neighbor
UMA	Co-star of Liam in "Les Misérables," 1998
IMF	World financial grp.
NOON	It precedes one
EXXON	BP competitor
CAW	Field call
CHLORIDE	Half of table salt
ABA	Org. popular with authors
WEPT	Cried
ORT	Scrap
OPAQUE	Unclear
RECURS	Comes back
TAKEUP	Begin
LUMMOX	Clodpate
OHBE	"___ quiet!"
OFTHEALPHABET	See 38-Across
PEA	It may be involved in a shell game
SEAFOX	Thresher shark
FLAPJACK	IHOP offering
JOG	Nudge
NODTO	Signal, in a way
DEW	It might get your feet wet
TOQUE	Brimless hat
JAMS	Some jazz performances
JED	Clampett of 1960's TV
AQUA	Soft shade
MULL	Chew (over)
SILLS	Potted plant sites
NEHRU	First Indian P.M.
USLTA	Org. that raises a racket?
GURU	Old pro
EQUIP	Outfit
PETTY	Minor
WEISS	Dramatist Peter who won a Tony for "Marat/Sade"
SITUP	Crunch
ESP	Skill at picking up things?
DULLES	One way to get to Washington
SHOES	Sneaks, say
ADLIB	Spontaneously
BELIE	Misrepresent
ALLTHELETTERS	With 14-Down, feature of this puzzle repeated three times
EMANATED	Gave off
RAZZ	Tease
SIZE	Medium, e.g.
STOMP	Jazz dance
AULAIT	How coffee may be served
TAR	Some goo
WAV	Form of music files on the Net
WAFFLE	IHOP offering
AVALON	Land of the Blessed, in myth
VICUNA	Llama relative
YEAHS	Much of the Beatles' "She Loves You"
SCH	Principal location?: Abbr.
PIZZA	Kind of oven
AVIV	Tel ___
VEX	Annoy
SNACK	Bite, say
KODAK	Brownie maker
EZER	Weizman of Israel
FACET	Aspect
TGIF	Letters of relief
ABHOR	Cannot stand
RARE	Infrequent
FLUXGATE	Direction indicator of the earth's magnetic field
AGE	___-appropriate
DAYJOB	Regular employment
YEN	It's worth about a penny
JOY	Rapture
OLA	Suffix with schnozz
BAN	Embargo
LON	Actor Chaney
IGET	Janet Jackson hit "___ Lonely"
AREOLA	Part of the iris
ENA	Old Spanish queen
FED	Washington agent
KENYAN	Many a marathon winner
