MISSAMERICA	Tiara wearer
MOLARS	They have more than one root
IRENIC	Conciliatory
SABATO	Day between venerdi and domenica
SPR	Part of some resort names: Abbr.
AROW	In ranks
MONOS	Some old recordings
ENJOYS	Eats up
ROADMAP	One may show you the exit
IBM	Notebook maker
CIEN	Hundred, in Juárez
ASSORT	Marshal
ILS	Parisian pronoun
INTONATE	Chant
LIGATURE	Binding
SKIPOLES	Ones stuck in the snow
ORAPRONOBIS	Ave Maria phrase
NIK	Neat end?
LEBRONJAMES	2004 N.B.A. Rookie of the Year
TGI	___ Friday's
ANA	Japanese airline
WOOD	Cherry, e.g.
NOSOAP	"Ixnay"
SUPERMAN	Not just your average Joe
RITA	Romance novelist's award
ARTESIAN	Kind of well
SYMS	Sylvia ___, whom Sinatra once called the "world's greatest saloon singer"
SIRS	Some nobility
RUNTO	Total
SCORN	"Teach not thy lip such ___": "Richard III"
NAM	"China Beach" setting
SAINTPAUL	Railroad hub on the Mississippi
NOOK	Hiding place
TAM	Floppy top
MAGI	Star followers
PRO	Whiz-bang
ETRE	Issy infinitive
MAKEMAD	Incense
MIDSHIPS	Sailing center?
ANIMATES	Buoys
KARENINA	Object of Vronsky's love, in literature
DEBT	Burden
SOIREES	Some socials
ILE	Martinique, e.g.
INAS	Much may follow it
GEE	Right call
ELUSIVE	Hard to get
KLM	Carrier to Schiphol airport
DIRIGIBLE	It's lighter than air
GLACIS	Gentle slope
EMINEM	Singer with the 2004 album "Encore"
EARNA	___ living
RECEDE	Withdraw
NESTEA	Snapple alternative
ATTHAT	Besides
SMEAL	Feminist Eleanor
TUMS	GlaxoSmithKline brand
SCENE	Something to shoot
NEET	Brand in the shaving aisle
HANNAH	"The Human Condition" author Arendt
HAHA	Response to sarcasm
SICS	Sets (on)
STOA	Ancient gathering place
CST	Midwest setting: Abbr.
ITI	"And another said, Is ___?": Mark 14:19
CANINETEETH	Dogs have prominent ones
NAV	From part of the military: Abbr.
EIS	Cologne cooler
PEN	Corral
IHAVENOIDEA	Totally unhelpful answer
SSA	F.I.C.A. funds it
SAVEMEASEAT	Tardy attendee's request
