MONTERO	Mitsubishi S.U.V.
MADAME	___ Defarge of "A Tale of Two Cities"
OREGON	Hells Canyon locale
NOBUTS	"Quit your excuses"
TUTTO	All, in music
ESO	That, to Tadeo
REF	Call
ORACLE	Ouija, e.g.
WOWEDEM	Knocked their socks off
WOAD	Blue dye
OOLA	Dancing girl in "The Return of the Jedi"
WHEREON	"The ground ___ she trod": Milton
ELS	Urban carriers
DAMASK	Patterned fabric
ELAL	Operation Exodus participant
MANA	"Every ___ king"
TERRA	Earth
TAHOE	Literally, "big water"
ELO	Grp. with the 1977 platinum album "Out of the Blue"
ROOTLESSPEOPLE	Hoboes by nature?
REPEAL	Anti-Prohibitionist's cause
ASSETS	Ledger column
AROUSER	Wake-up call, e.g.
OOHLALA	It may be said after kissing the tips of one's fingers
ALOES	Healing plants
DEBTOFASALESMAN	What the peddler owes?
SEAR	Burn
HOOPS	B-ball
AGUT	Bust ___
CEDAR	Construction material in King Solomon's temple
ALAMO	National rival
MYNA	Repetitive sort
TEE	Driver's aid
MOTOROLA	Maker of the first walkie-talkie
RTES	Delivery lines: Abbr.
OHM	Law man?
EXS	"All My ___ Live in Texas" (1987 #1 country hit)
XFACTOR	Unknown
YELLAT	Berate
LETT	Riga native
ENS	Lt.'s subordinate
THERATOFKHAN	Top Tatar's tattler?
ARAB	Show horse
TORO	Ring figure
HERA	Ox-eyed queen of myth
ANEND	Means to ___
EELS	Jellied dishes in England
SEM	Place for a father-to-be: Abbr.
STPETE	Fla. vacation spot
RONA	First name in gossip
ENACTS	Passes
CASSIS	Black currant flavor in wines
SSGTS	Squad leaders: Abbr.
SAFARIS	Bush activities
SPICULE	Skeletal support in a sponge
GIVEBERTTOABOY	Muppet seller's gender guideline?
TBAR	Way to the top
TSE	Lao-___
BESS	1940's first lady
CARE	Shirt tag info
AHME	Woeful words
ATSEA	Not knowing what to do
EARLIER	Flashback caption
ASSIGNS	Transfers
APIP	"You're ___!" (Archie Bunker comment)
USEBOATHANDS	Advice for an understaffed yachtsman?
UNCLE	Cry made with one's arm behind one's back
ACUTE	Less than right?
DURAN	Real-life boxing champ who appeared in "Rocky II"
PAS	___ seul (solo dance)
FIVEONES	Change for a fin
OILWAY	Lubrication channel
COM	Net alternative
DUSTERS	Close pitches
TVTAPE	VCR insert
ACETIC	Kind of acid
SECURED	Unable to get loose
ENCL	Bottom-of-letter abbr.
CUREALL	Panpharmacon
DRIP	Insomnia cause
RIVOLI	Site of a 1797 Napoleon victory
RUBELLA	Cause of some spots
ALITO	O'Connor successor
NUT	Screwball
ROASTPIG	Apple holder, maybe
OOP	Alley ___
ILE	St. Martin, e.g.
WELTCREATION	Result of whipping?
TBSP	Recipe abbr.
ACER	Fast server?
TASM	Island that's part of 90-Down: Abbr.
ALEN	Architect William Van ___
SERTA	Simmons competitor
TRAP	Big fat mouth
IBLE	Suffix with flex
CAPP	Cartoonist who drew the Shmoo
APERS	Mimics
AUST	See 84-Down: Abbr.
TRYSTS	Some hotel visits
SPAR	Clash (with)
ADES	Summer coolers
DAMPMOP	Floor wiper
HUE	Clamor
HTS	Elevs.
ESTA	Spanish for "are"
EURAIL	Overseas train service
STELLA	___ Artois, beer from Belgium
POPULARMITTS	Best-selling baseball equipment?
UECKER	"Mr. Belvedere" co-star
ICER	Hit man
TOREAT	Pawed
DRY	Sec
DRAWIN	Attract
REDACT	Blue-pencil
YESYES	Impatient agreement
UTOPIA	Neverland
IFEAR	Start to a bit of bad news
ELM	Common street name
COSTFREE	At no charge
FLARE	Blaze
REA	Classic New Yorker cartoonist ___ Irvin
FRANC	100 centimes
ATOP	Opposite of under
NANA	Kid watcher
PLIER	___ set (group of tools)
LYTE	Suffix with electro-
IBET	Sarcastic comment
LADS	Early Beatles, affectionately
ALBEE	"The Goat, or Who Is Sylvia?" writer
ENE	Little Rock-to-Memphis dir.
TAKEMYBRETTAWAY	Packer fan's angry cry after an interception?
EVA	Seductive Longoria
TVA	New Deal inits.
TAL	Chess champion Mikhail
ILONA	Massey of "Rosalie"
ONEVOTE	Slimmest election margin
AVARICE	Cupidity
LAYER	Cake part
PARAPET	Balcony's edge
TALENTS	Gifts
