PUBLISH	Make known
PASSOUT	Faint
UPTEMPO	Bouncy
BRALESS	Without means of support?
LINEN	Sheets on a shelf
IONS	Ca++ and Cl-
SRI	Asian honorific
HICKTOWN	Podunk
WRITEUP	Newspaper report
WHATIF	Hypothetical
ROLEX	Bulova competitor
ISAS	"Handsome ___ handsome does"
TAD	Modicum
ENDURES	Sweats out
UNIFIES	Joins
PANOPLY	Impressive display
APRIORI	Kind of assumption
HOSANNA	High praise
STANNIC	Tinlike
ALADDIN	Wishful one?
SELES	Hingis rival
KITES	They may come with strings attached
IDONTKNOW	Too-seldom-heard reply
UFO	Tabloid topic
OMEN	Sign
FTDIX	N.J. base
FLOUT	Scoff at
TRIP	Suffer a public embarrassment, maybe
TRANS	___-Alaska Pipeline
UPS	Good days on Wall Street
ALOOF	Distant
ADOBE	Home for arid climates
AREEL	Spinning
ALIKE	Equally
TOSSDOWN	Swig
SCENE	Tableau
CLASSY	Elegant
CECIL	60's TV puppet
COUNTMEIN	Eager joiner's comment
MINILABS	Local developers, maybe
INDEBT	Living on plastic, e.g.
ICECOLD	Chilled
NATALIE	Actress Portman who played a "Star Wars" princess
DIRNDLS	Fräulein's frocks
KICKSOFF	Inaugurates
ONEPAIR	Poker holding
FORAGER	Food seeker
FACTORY	Major employer
CAINE	Command for Queeg
ANNIE	Movie Hall of fame
ABATED	Let up
NOA	"___ thousand times ..."
ETRE	Sartre's "L'___ et le Néant"
ABOIL	Bring to ___
ARLEN	"Stormy Weather" composer
MERC	Ford offering, for short
MISDO	Botch
CAN	Send packing
BRAWL	Many a hockey highlight
BALE	Make a bundle
NIPAT	Barely bite
NEWS	The latest
OLDSALT	Tar
SAC	Military acronym
AGESAGO	Way back when
GAO	U.S. claim-settling dept.
LILALEE	Frequent Valentino co-star
BAWDIER	More off-color
DESCEND	Drop
SOSORRY	"Pardon me"
