KAMPALA	Capital on Lake Victoria
KAVA	Intoxicating Polynesian drink
ARID	Parched
MESH	Jersey material
PACERS	Conseco Fieldhouse team
ARESO	"Am not!" rejoinder
LURID	Shocking
AGAVE	Tequila source
TVSTARS	Morrow and Murrow, e.g.
TRIB	Chi-town daily, with "the"
VACA	Cow: Sp.
STINT	Tour of duty
TANDOOR	It's hot in an Indian restaurant
ATE	Put away
RAS	Univ. dorm supervisors
STS	G.P.S. data: Abbr.
AREARUG	Part of a floor décor
RATATAT	War movie sound effect
VISCERA	Innards
ICINESS	Hostility
ADHESIVEBAND	Musical group that stays together?
EONS	Stretches of history
RODEO	Bulldogger's event
TOADS	Herd : buffalo :: knot : ___
ADAGIO	How "Moon River" is played
DEPART	Take off
SAYYES	Give permission
SSRS	Part of Eastern Europe, once: Abbr.
SUSSEX	Northernmost county in New Jersey
STAPLE	Chase scenes, in action films
RECOIN	Bring back, as silver dollars
NSA	Cryptanalysis org.
STUV	String before W
AHME	"Whatever shall I do?!"
ODEA	Ancient theaters
UTE	Mountain West Conference player
MASSTHERAPY	Faith healing service?
MAT	Ring surface
ASST	Entry-level position: Abbr.
SPCA	Pet lovers' org.
EAR	Plug place
SAC	Iowa county named for an Indian tribe
ASP	Death on the Nile cause?
UMA	Thurman of the "Kill Bill" films
GAY	Frolicsome
SPORTSCOVER	Stadium's dome?
REIGNED	Held sway
ONCD	One way to store data
IRE	Home of Samuel Beckett: Abbr.
ELIE	Designer Saab
TAN	Beach shade
COTS	Red Cross supply
CHORAL	Beethoven's ___ Symphony
XENIA	City near Dayton
AANDE	Former "Biography" channel
CRUSH	Infatuation
RIDEA	"___ cock-horse to Banbury Cross"
USING	Not abstaining
SPORE	Germ
GARBDISPOSAL	Donation to the Salvation Army?
RIAS	Narrow inlets
BEST	Oscar superlative
SAGE	Brush material?
AMES	___ Building, first skyscraper in Boston
LADS	Schoolboys
JEANNIE	1960s sitcom title role
JAB	Boxer's setup
ECO	Prefix with -cide
ATL	U.S./U.K. divider
DIORAMA	Three-dimensional scene
ACTEDAS	Played the role of
ENRAGED	Ready to blow
BOLDEST	Most brazen
AGELESS	Eternal ... and a hint to 19-, 34-, 42- and 55-Across
