LILABNER	Rural strip
LOCI	Points
IVAN	Memorable hurricane of 2004
LENT	Solemn stretch
ARNE	"Thomas and Sally" composer
BRER	Backwoods relative
NUDISM	Penchant for taking off?
ELIOTS	"Old Deuteronomy" writer and family
RETREAT	Conference site
ASLEEP	Recharging one's batteries, so to speak
AIREDALE	Wartime dispatch carrier
SMOG	Big city problem
LEOI	First of a string of 13
ELMO	Sailor's saint
EDEN	Fairyland
PARS	Course guides?
OVERRULE	Veto
IMELDA	Filler of many shoes
CANNEDIT	Shut up
ROOMER	Paying guest
INTERIORREGIONS	They're far from any port
RENES	Québec's Lévesque and others
STEED	Mount with spirit
SYSTEMSANALYSTS	Some techies
SNOOP	Paparazzo sort
YONNE	Department of central France
STADT	German town
TILER	Home subcontractor
ENAMI	As a friend, to François
LLANO	Plain of the Southwest
YASIR	First name in Mideast politics
SLIME	Snail trail
TIDES	They roll in
SEEST	Biblical view
NOTIN	Away
TELLALIE	Prevaricate
ONALARK	Just for fun
RAFFLING	Disposing of at a church fair, maybe
KNITS	Leg warmers, e.g.
SEASIDE	Like many a resort
ONDEMAND	How some things are available
DELTAIC	Triangular
NIMES	French site of Roman ruins
PETRIFIEDFOREST	Result of a volcanic eruption, maybe
DEANNA	"I Love a Mystery" actress Lund
FEINTS	Bluffs
FTLEE	U.S. Army training center in Va.
SPIRALSTAIRCASE	It winds up
SACS	Some egg containers
PSAT	E.T.S. offering
ISLA	Cuba, por ejemplo
RILL	Lunar trench
ASIA	Indian's home
REOS	Vintage vehicles
CANE	Knobstick
ALIT	Settled down
SENT	Cast
EDGE	Beat slightly
ASSISI	Commune near Perugia
ANNEALED	Got hot, then cooled off
CALLIN	Like some radio shows
INTONING	Monk's activity
STALAG	War movie setting
CASSETTE	Song holder
