SETUP	Frame job
SAFE	Opposite of "out" in baseball
EDIT	Tighten the writin'?
TORN	Ripped
URSA	___ Major
PET	Hamster, for one
SAPOR	Taste
SNAPAT	Speak sharply to
AUDIT	Bad news for a taxpayer
PRICETAG	Sticker
OSE	Sugar suffix
RES	Hi-___ monitor
ETE	Somme summer
ECOLI	Food-poisoning bacteria
TONIC	Gin's partner
ELOPE	Run off to a judge in Vegas, say
ADORE	Love to pieces
NURSE	Clara Barton, e.g.
COL	Rank above maj.
FIRSTLADIES	Michelle Obama and Laura Bush
LETS	Allows
ONO	Singer Yoko
ETNA	Sicilian spewer
EPIC	On a grand scale
FLIP	Somersault
FLOORIT	Put the pedal to the metal
STATEPOLICE	Highway troopers
SEP	Mo. when fall starts
PANS	Lousy reviews
ORG	U.R.L. ending that's not "com" or "gov"
ELDEST	Of greatest age
ELEV	Mt. McKinley's is 20,320 ft.
LORE	Oral history
DOORDIE	Like a dire situation
TARO	Poi source
SLOOP	The Beach Boys' "___ John B"
SHO	HBO rival
HANGOVER	Drinker's next-day woe
HOG	Animal in a sty
VANE	It shows which way the wind blows
EVER	At any time
REW	FF's opposite
HERO	Submarine sandwich
MOOGS	Early synthesizers
MACE	Spray used on rioters
ONESIDED	Completely biased
RAVE	Great review
OVERHANG	Eave
HIC	Drunk's outburst
SINEW	Tendon
STE	Jeanne d'Arc, e.g.: Abbr.
DICE	Cubes in a casino
LETTER	E-mail predecessor
LAMEST	Least plausible, as an excuse
ETAS	Hellenic H's
POLICESTATE	Oppressive regime
PETAL	Daisy part
ORATE	Pontificate
LINES	Actors speak them
TRITE	Hackneyed
ERIE	___ Canal, waterway through Schenectady
IRMA	"___ la Douce"
LOIS	Lane of the Daily Planet
LISP	Daffy Duck has one
ORTS	Table scraps
ISEE	"Now you're making sense"
STET	Proofreader's "reinstate" mark
TAN	Beachgoer's shade
LADIESFIRST	Tenet of chivalry
LAC	Fond du ___, Wis.
ABA	Atty.'s org.
FEU	Fire: Fr.
ATE	Had something
ABETS	Assists at a heist
ESTEE	Cosmetician Lauder
LES	Plural of "la" and "le"
CADET	West Pointer
UPSET	Unexpected win
