AHAB	"Moby-Dick" captain
AGAPE	Open-mouthed
HYDRA	Nine-headed serpent
ARIES	Sign after Pisces
BOATED	Sailed
PHAT	Excellent, in modern slang
PLAYPEN	Toddlers' enclosure
HEMP	Rope material
ACME	Pinnacle
THONG	Revealing beachwear
RAPID	Speedy
RELYON	Use for support
ALE	Ginger ___
PEACEPIPE	Something smoked at an Indian ceremony
INFO	Data
DAYS	Word with "Happy" and "Death Valley" in old TV titles
GYRO	Greek sandwich
LECH	Poland's Walesa
ELENA	Actress Verdugo
ADIA	1998 Sarah McLachlan hit
AMMO	Bullets, e.g.
LEAFY	Like lettuce or spinach
PRETTYPENNY	Considerable sum of money
TURIN	Shroud of ___
NOSE	Winning margin, sometimes
COS	Trigonometry abbr.
EASEUP	Soften
GOOSE	Barnyard honker
SAME	Identical
DREAD	Apprehension
AVON	English river
DANTE	"Inferno" writer
SNAPPY	"Make it ___!" ("Hurry!")
PLAN	Blueprint
YOYO	Toy that does tricks
ARP	Dadaism founder
ALIT	Touched down
REDO	Make over
PALMPILOT	Handheld computing device
INVADE	Overrun
DEAD	Wanted-poster option
MILO	Venus de ___
LEARN	Get schooling
REAL	Honest-to-goodness
ONE	"___ Fine Day" (1963 Chiffons hit)
REPAY	Satisfy a debt
RECAP	Summary
IDLE	Just twiddling the thumbs
ONTAPE	Recorded
OOZE	Move like molasses
PULLPIN	Gun part
ENO	Musician Brian
TOMATO	Red addition to a salad
TAPPED	Bugged
EDUCE	Bring out
ENOUGH	"Stop right there!"
PLAZA	L'Enfant ___, in Washington, D.C.
ANGUS	Cattle breed
LANCES	Knights' weapons
CILIA	Paramecium propellers
ENEMY	Foe
STEPS	Dance components
LEI	Gift offered with an "aloha"
LOST	Needing directions, say
EXPO	Montreal ballplayer
PENCILPOINT	Useful tip for puzzle-solving?
CAGE	Parrot's spot
ISLE	___ of Man
OXLIP	Variety of primrose
IKE	1950's White House nickname
GASP	Struggle for air
ULEE	1997 Peter Fonda title role
SPOKE	Part of a bicycle wheel
UGLI	___ fruit (large tangelo)
GIMP	Walking difficulty
TOTED	Lugged
SEEN	Espied
HAYS	"Airplane!" actor Robert
