BEASTS	Unicorns and griffins
BAMBA	1959 pop hit, after "La"
ELROY	The Jetson boy
ASPIN	Take out for ___
STIS	Boonies
TOWERED	Stood tall
SNI	___ and snee
DSC	U.S. Army award: Abbr.
DADO	Pedestal part
STRUTS	Parade walks
CLOTH	Draper's offering
ACTE	Part of une pièce de théâtre
ACK	When repeated, antiaircraft fire
CHIENLIEN	Hysterical hen of fable
TEES	Tourist shop display
EZRA	Cornell of university fame
ALSTON	Ex-Dodger manager Walter
ATL	What SSTs crossed: Abbr.
CHEZ	Word in a French party invitation
MRPIWI	Club founder and president in an 1836 Dickens novel
DROPKIER	Field goal attempter, once
PHOTO	Start to finish?
BOISE	Oregon Trail fort
MOUTH	Sass
MINOR	College student's declaration
ESA	Spanish pronoun
AYN	Author Rand
RBI	Box score no.
BERGS	Arctic castoffs
THORN	Cause of a sore spot
RUNNER	Hall floor cover
SEENAS	Perceived to be
STEELY	Unbending
APOST	Deaf as ___
TULSA	City on the Arkansas
SEXT	Noon service, to ecclesiastics
ARTS	Beaux-___
LASTDROP	Tiniest bit at the bottom of a coffee cup
LASH	You may get an extended one at a salon
ANNO	Cornerstone word
STIYWIETS	Awkward situations, informally
MONIER	Handle
MSGTS	Ones graded E-8 in the Army
ANTE	Deal preceder
GROSS	"That's repulsive!" ... or a hint to this puzzle's theme
SEANS	Opinionated Hannity and others
NEXT	Cry at a doctor's office
SNIERS	5th Avenue alternative
READD	Check the figures, possibly
SEGMENTS	Grapefruit units
MEASURE	Dram or gram
HOYLE	According to ___
STATER	Free ___ (1850s abolitionist)
STETHO	Chest: Prefix
WYATT	Sir Thomas who introduced the sonnet to England
TISCH	Former CBS chief Laurence
NSA	Intel org.
GMC	Big inits. in trucks
GOTIT	"Understood!"
MORSE	___ code
CLIER	Quiz show gizmo
BUI	Century, e.g.
BBLS	Oil qty.
UREY	1934 Chemistry Nobelist Harold
DIETS	Waist removal regimens?
TIET	Amusement park purchase
SPOOL	Plaything for a kitty
PIAT	Eat without enthusiasm
BREADSTI	Crispy appetizer
AST	N.Y.C. hrs. + 1
QUITRI	Easy winner in bridge
QBS	N.F.L. hurlers
LETS	"I'm game if you're game!"
CHE	What: It.
BRAISE	Brown and simmer
SYST	Meth.
HOT	In great demand
SETTER	Gun dog
