BALL	Event attended by Cinderella
BOSC	Pear variety
AREA	Vicinity
LEND	Allow temporary use of
LODE	Ore's locale
DODOS	Dumbbells
DENZEL	Washington of Hollywood
ONTAP	Alternative to "in a bottle"
DOHS	Cries from Homer Simpson
OLE	Spanish cheer
SAC	Baglike structure
BLAH	Totally unexciting
BLONDE	Mae West, for one
LOWS	Temperature extremes
ACNE	Clearasil target
HOST	Party-giver
OREO	Black-and-white cookie
ENOLA	W.W. II plane ___ Gay
LOCO	Plumb crazy
SENDINTHECLOWNS	Song from Sondheim's "A Little Night Music"
INHERE	Be a natural part
LOON	Diving bird with a weird call
CADENZAS	Aria flourishes
ONSET	Start
HEP	Sound repeated while marching
IZOD	Company with a crocodile logo
IMAGE	Public persona
ZINC	Multivitamin additive
PASTEL	Soft shade
PATCH	Quilt part
ACHOO	Sneezer's cry
STROM	Late Sen. Thurmond
TOE	Stubbed item
EMINENCE	High rank
ERNIE	"Sesame Street" Muppet
NACRE	Button material
CHURL	Rude person
EASES	Simplifies
ACTOR	Cast member
FRAN	Kukla, ___ and Ollie
FIRST	Blue-ribbon position
AHA	"Eureka!"
THREERINGCIRCUS	Scene of dazzling goings-on
REAL	True
IBERIA	Spain and Portugal
RAP	Eminem's music
COO	Loving murmur
ERIE	Toledo's lake
BARRE	Vermont city
HOMEBASE	Catcher's position
EMENDS	Corrects
BAKU	Azerbaijan's capital
REPELS	Drives back
RAMBLE	Walk aimlessly
MALT	___ liquor
MAR	Disfigure
MEDAL	Olympic award
CREEK	Stream
CBER	"Good buddy"
RAGU	Spaghetti sauce brand
ERAS	Historical times
SEMITONE	Scale interval
SNUB	Social rebuff
TILT	Pinball error
OLEO	Yellow sub?
NEAR	Close in on
EYRE	Brontë's "Jane ___"
BARNUMANDBAILEY	"The Greatest Show on Earth" purveyors
MUG	Root beer order
ASA	Happy ___ lark
EGAD	"Holy Toledo!"
USUAL	Bar patron's request, with "the"
LEAR	Edward who popularized the limerick
RUSS	Old bandleader Columbo
GABLE	___ roof
TORE	Dashed
