WESSON	Big name in oil
WAISTS	Middles that are often too big
ENDEAR	Ingratiate
STOCKS	Has on hand
SENSE	Intuit
OCT	When Canada celebrates Thanksgiving: Abbr.
NED	Washington in the Songwriters Hall of Fame
LIS	Easter flower, in Is-sur-Tille
LEIS	Hawaiian strings?
INVITE	You might get one before a party
STEER	Direct
ALAE	Butterfly wings, e.g.
AREA	Neck of the woods
LANGELLA	Tony-winning "Frost/Nixon" actor
ASTERISM	Constellation
EASTOD	Best Director of 1992 and 2004
ANTECEDENT	The fool in "A fool and his money are soon parted"
DRO	Be an utter bore?
RASA	Tabula ___
IDONTDRIVE	Excuse given for asking for a ride
ENTS	Humanoid trees in Tolkien
SECS	Ticks, say: Abbr.
OSIE	Toddler's attire
AGET	Time for potty training, maybe
TAKESF	Rests
SARANAC	Beer from upstate New York
FFOLD	Like the symmetry of a starfish
TRA	Chorus line opener
ASAGIFT	Free of charge
ERO	Handel cantata "___ e Leandro"
SRS	Promgoers, e.g.: Abbr.
AFIRE	Burning
ISL	Part of some chains: Abbr.
REELS	Walks unsteadily
SOLID	Not shaky
OORT	___ cloud (region of comets far beyond Pluto)
EROSE	Jagged
ERIN	Celtic land
GAOLS	Clinks overseas
GOGOS	"Beauty and the Beat" band
PARALLELOGRAM	What's revealed by connecting the special squares in this puzzle in order
PARODIES	P.D.Q. Bach's "Sanka Cantata" and such
AMENAMEN	Final words of Numbers 5:22
LEK	Albanian coin
AMIND	Start of the United Negro College Fund slogan
LEGIT	Kosher
IRENA	___ Szewinska, Olympic sprinting gold medalist of 1964, 1968 and 1976
INFTHS	How mini-pizzas are usually cut
ASKOF	Want from
APIECE	Each
OVO	Ab ___ (from the top)
OPINES	Sounds off
VOLARE	1958 #1 song with the lyric "Let's fly way up to the clouds"
ORELSE	Bully's warning
NON	Partisan leader?
CAP	Tube top
ABBIE	Old comic strip "___ an' Slats"
STUPOR	Daze
UNITY	Concord
FDAY	Nice kind of workweek
YEPS	O.K.'s from the O.K. Corral?
BIGT	G.M., Ford and Chrysler
GOES	Exits
TRS	School basics
NILE	Setting for an Agatha Christie novel
TIME	Proctor's call
BEORIGINAL	Advice for essay writers
IKE	Presidential nickname
GAL	Square dance partner
HEEP	Dickens creep
ICESKATERS	Eight producers?
SSNS	Payroll dept. figs.
EES	Wiring experts: Abbr.
ELYSEE	Paris palace
