MAST	Rigging attachment
MASC	Like some nouns: Abbr.
ARCO	___ Arena (Kings' home)
SLOT	Token taker
TOTEM	Family figure
ADAM	Man on first?
AWHILE	How long one might stay
DOWELL	Prosper
ARI	Uris protagonist
MKT	AMEX, e.g.: Abbr.
SCUM	Riffraff
SHADE	A park may provide it
CABIN	Ship assignment
URANUS	Father of the Titans
MDS	Ward workers, for short
SASHAY	Walk fancily
SOCLE	Pedestal base
ACHED	Hurt
STARRS	Kay and Kenneth
HASTALUEGO	South-of-the-border sign-off
AVE	Old-time welcome
YER	Suffix with law
ARLO	Folk forename
WORKSHARD	Sweats
SHAG	Pursue
OCTAVE	So to so, say
SCOTCHWITHABASSCHASER	Use a fisherman to put the kibosh on?
CRIB	It may be in the palm of one's hand
SANTAS	Holiday hirees
COTERIE	Circle
ADIN	Game point, in tennis
ALERT	Argus-eyed
MILLERGENUINEDRAFT	Authenticated "Death of a Salesman" manuscript?
ELISE	"ER" actress Christine
RENO	Union city?
ISH	Suffix with boor or Moor
FUNRUN	5K, maybe
TRAINS	Track team?
MAP	You may be lost without it
MUGGS	"Mr. ___ Steps Out" (Leo Gorcey comedy)
ACURA	Legend maker
PLIED	Employed busily
BELLE	Center of a ball?
SST	Focus of a July 2000 crash investigation
SLUR	Disparaging word
UCLA	John Wooden Center site
ANN	First name in advice
INUSE	Taken
UNMAN	Deprive of courage
STARTINON	Begin chastising
EAR	Lent part?
HALF	Game portion
LAZ	___-Boy recliner
FLICKOFF	Extinguish, as some lights
UNA	___ corda (musical direction)
GUINNESSONTAP	Obi-Wan Kenobi actor's thoughts about Gregory Hines?
NOTAKERS	What an unappealing offer might get
EBON	Deep black
SLEDS	They may fly in the winter
PATEN	Blessed bread holder
SALIERI	Composer of La Scala's premiere opera
IPOS	Financial page listings, briefly
GRENOBLE	Where Peggy Fleming won gold
MARAT	French Revolution figure
TAR	Concern of some smokers
ZIPGUN	Homemade pistol
SAD	Kind of story
TOE	Gymnast's pointed part
CAR	Aries or Taurus
COBRA	Army attack helicopter
TAW	Choice marble
WORSE	Inferior
COONS	___ age (long time)
JANDBONTHEROCKS	Headline about Aniston and Pitt's breakup?
JILT	Dump, so to speak
BOW	It'll do for the present
HAGUE	Peace Palace's place, with "The"
CIAO	"Later"
SHEIK	Bahraini V.I.P.
SCRAGS	Runts
HOORAH	"Yay!"
EASTBOSTON	Ted Williams Tunnel locale
SOB	Kind of story
IAN	Opera singer Bostridge
RIO	Lago feeder
ORA	___ pro nobis
OVULE	Embryo sac encloser
RODEO	People may lose their seats in this
ARSON	Lighting of a torch
COALER	Certain freight train
RUT	Oxcart's track
WRING	Extract forcefully
ICK	"Gross!"
ASAFAVOR	Voluntarily, perhaps
ALLIN	Beat
ABC	Epitome of simplicity
ROSTRUM	Oration station
MERCER	"Jeepers Creepers" lyricist
ACOUPLEOFBUDS	Early spring sights?
PETA	Anti-fur org.
ART	Pastels and such
STEM	Hold back
MBA	Many an exec
KNEEL	Be in an altared state?
CLEO	Splashy 1963 film title role, for short
GABS	Chinwags
STUCCO	Plaster, in a way
RBI	Baseball card abbr.
INAFIX	Stuck
TISCH	New York University's ___ School of the Arts
SCHLEP	Cart
CLOWNS	Fools
HULA	Hippy movement?
EON	Long period
SHOTOFCANADIANCLUB	Maple Leafs team photo?
OCHER	Orangish yellow
FRETS	Stews
ATONE	When many office workers return to work
DOLES	Welfare grants
INDS	Some candidates: Abbr.
BLUFF	Poker ploy
SUCRE	South American capital
ATON	Immensely
HOLLOWS	Cavities
OKIE	Panhandler, perhaps
WERE	Number one starter?
SEED	Lentil, e.g.
PITCHEROFOLDMILWAUKEE	Warren Spahn?
PAT	Learned perfectly
IVE	It may be added to impress
ONE	Like a gas gauge just before a fill-up?
MEG	Filmdom's Ryan
IVY	Wrigley Field feature
AVOCET	Stilt's cousin
NINESEVEN	Score after a tie-breaking safety
FIRE	Bad thing to be under
TENORS	Choir section
EXES	Split personalities?
GYPS	Shortchanges
FEED	Oats, possibly
