HOWDEDO	Folksy greeting
HIGHTOP	Big sneaker
ONLEAVE	Off-base
WHOPPER	Ludicrous falsehood
DARTER	Fast freshwater fish
ELIA	"Mrs. Battle's Opinions on Whist" writer
DEADBEATS	Sponges
ORS	Where hearts may be opened: Abbr.
ASPECTS	Things to consider
ASPENS	Classic nature subjects for Ansel Adams
STEAD	Place
PARD	Friend on the trail
ENSURING	Clinching
CLIPART	Some newsletter pictures
TEATIME	Break point at Wimbledon?
SYNODAL	Of church affairs
INHALER	Asthmatic's need
STANLEY	Jazzman Jordan
GLORIAS	Liturgical responses
PERSIAN	Warrior at Thermopylae
HEPTAD	Snow White's Dwarfs, e.g.
LEADUPTO	Precede
LARKSPURS	Flowers of the buttercup family
TAPE	Supply in a nurse's kit
BRAND	Stigmatize
RENE	Title hero of a Chateaubriand novel
RAID	Incursion
OVERSEERS	Foremen
SHELF	Kind of life
FIRMA	Solid, in a phrase
FANNY	Bottom
PER	By way of
HANK	Handful
MANTEL	Trophy site
MINNESOTA	Home to General Mills and Hormel
DETESTING	Not being able to stand
DIPSTICK	It's cleaned at gas stations
TENS	Olympic coup
SIGILS	Marks thought to possess occult power
SKIMMED	Did illegal casino work
INDIANA	Noted Jones
GOESFAR	Is a big success
PENN	One of the Ivies
BAM	Chef's exclamation, perhaps
BEDELIA	Actress Bonnie of "Die Hard"
ADORING	Like fans
MESSAGE	Mail body
KNOPF	Noted book publisher beginning 1915
RUNNYMEDE	Where the Magna Carta was signed
RESORT	Building on the beach
MAYANS	Writers of early hieroglyphics
IDES	Dangerous time
PERSE	Intrinsically
PESOS	Sucre lucre
ADOS	Ceremonies
MISTRESS	Basis of a scandal, maybe
ROTE	Mechanical course
SAYERS	Wimsey's creator
AMOS	It follows Joel
MAFIOSO	Crime lord
SOMALIA	Lawless land
SAP	Patsy
ENACTOR	Legislator
ATONING	Lent effort
DARKEST	Worst, hour-wise
PASSAGE	Musical score segment
