EASE	The life of Riley
EBB	Flow's partner
ALA	Chicken ___ king
SOD	Lawn makeup
ECHOES	Sounds in an empty hall
BOONS	Blessings
BRIE	Cheese from France
OAR	Boater's blade
ODD	Like 1, 3, 5, 7 ...
NIACIN	An essential vitamin
SOYA	Kind of bean
THAT	"How about ___?!"
THAILAND	It was once Siam
HORNED	Like bulls' heads
APIECE	Each
TSETSE	Sleeping sickness carrier
BLOC	Voting group
RADIO	AM/FM device
HOPS	Rabbit moves
BADHAIRDAY	When one might wear a hat
ANN	Raggedy ___
ARIE	Singer India.___
ONE	Binary code digit
CABINET	Presidential advisers
BARBRA	Singer Streisand
INPEN	Done permanently, as writing
ILL	Running a temperature, say
NAIL	Hammer's target
POLI	___ sci (college major, informally)
TRI	The first "T" of TNT
TSAR	Pre-1917 Russian ruler
RALEIGH	North Carolina's capital
ALECS	Smart ___ (wiseacres)
LAOS	Neighbor of Vietnam
SANDRADEE	Gidget player in "Gidget"
DIOS	"Vaya con ___" ("Go with God")
LIL	"___ Abner"
DIAL	Popular soap
DEADER	More tired
IFSO	Assuming that's true
IBN	Son of, in Arabic names
LIVEFREEORDIE	Motto of New Hampshire
VOYAGERS	Travelers
ELHI	Relating to grades 1-12
IDOL	British rocker Billy
EARL	Countess's husband
OAS	Western treaty grp.
ILSA	Rick's love in "Casablanca"
DAB	Bit of hair cream, say
BOY	"Whew!"
PLAYDOUGH	Generic modeling "clay" for tots
PATRIA	Homeland, to Horace
LURING	Tempting
ARISTA	Record label for many rappers
UPMOST	Highest
TORO	Bull in a bullfight
TOWERS	TV transmission sites
AURAE	Airs, in Latin
PHI	___ Beta Kappa
JOLLY	"A right ___ old elf" (Santa)
JOG	Morning run, perhaps
TRIGRAM	Three-letter combo
APES	"Planet of the ___"
COW	Mooer
CASE	24 cans of beer
RISE	Ascent
POSTAGEDUE	Stamp on an envelope without enough stamps
STY	Hog haven
TEL	No. with an area code
DOT	Period
USA	Land north of Mex.
EAR	End point for an iPod cord
INTR	Verb type: Abbr.
ESTES	___ Park, Colo.
ROSA	Late civil rights activist Parks
AGAS	"What ___!" ("How cool!")
STYLE	Fashion
STAR	Headliner
