CHATSUP	Flirts with
CRISTO	El Greco's "Bautismo de ___"
HATTER	Milliner
ADSORB	Act on like a carbon filter
TIARA	Barbie accessory
SOCK	Buffet
UFO	Tabloid subj.
PRIORESS	One of Chaucer's Canterbury pilgrims
TRAUMAS	Trying experiences
TECATE	Mexican beer named for its hometown
REINE	Marie, par exemple
AUDI	Cabriolet maker
URE	Portrait finish?
MONGOOSE	Ferretlike carnivore
APCARTER	Patriarch of the "First Family of Country Music"
SEESTARS	Reel
RADIOFREEEUROPE	Eastbound waves?
ENMESH	Trammel
ITSACOINCIDENCE	"You and your conspiracy theories!"
STORK	Hera turned Antigone into one
OMANI	Like the newspaper Al Shabiba
GAS	Main contents
TERA	Prefix with flop
CRETE	Sea of ___, south of the Cyclades
CERES	The biggest part of a large belt
MORT	Death to le roi
MURKY	Not pellucid
ORB	Space ball?
GEESE	Six layers of a song?
GAZER	Person with a crystal ball
QUOTA	Met number, maybe
QUOTH	It was uttered in the past
HARSH	Like arctic winds
HIDES	Trapper's stock
CURSER	Lenny Bruce, famously
CHICS	Fashions
RESIZES	Adjusts, as a magazine photo
REDSONJA	1985 Arnold Schwarzenegger film
EXITFEES	Going rates?
SUNDOWNS	Regular settings
CHOKERS	Neckwear
CASSAVAS	Plants that are a natural source of cyanide
EXUDES	Can't contain
LAITY	Flock
LIENOR	One who holds a note
DINER	Setting for Edward Hopper's "Nighthawks"
TISCH	Paley's successor at CBS
THAMES	"Sweet ___, run softly, till I end my song": Spenser
PSI	Michelin guide no.?
POINTA	Where to begin
SALTON	___ Sea of California's Sonoran Desert
ITISNT	Terse demurral
STDS	E.P.A. output: Abbr.
CHESS	Speed ___
CLEFT	Like the Rock of Ages
COAT	Duster, for one
CHEST	Focus of many an X-ray
OFO	"The Story __" (Pauline Réage novel)
ALANA	"32 Flavors" singer Davis
AGIN	Predisposed to fightin'
CHILI	Dog topper
CMIX	Multiple of CI
NEWAGEMOVEMENTS	Subjects of metaphysical research
ANE	Georges Perec's 1969 novel "La Disparition" is written entirely without this
ENE	Compass dir.
JENNIFERANISTON	"Picture Perfect" star
ASSENTS	Permission slips, e.g.
SEXTANT	Astrolabe alternative
