SCENIC	Pleasant to look at
STAFF	Office crew
CURIE	Radium discoverer
EXERT	Put forth, as effort
NEO	Prefix with classical
IDLE	Like some chatter
COAX	Sweet-talk
SEC	"Hold on a ___!"
SABRINA	Audrey Hepburn title role
ERRANDS	Gofers' tasks
CROCS	Long reptiles, in short
EBAN	Abba of Israel
ELDEST	First-born
BAUD	Modem speed unit
ANDI	"The King ___"
NEST	Egg holder
TUXEDO	Promgoer's rental
ARR	Airport monitor abbr.
LANE	Nathan of stage and screen
AREOLA	Colorful ring
BRO	Pal in the 'hood
DUDS	Toggery, informally
FIR	Christmas tree
EXTRACREDIT	Grade booster
TRAC	___ II (razor brand)
RES	Apt., e.g.
FETE	Big bash
ERNS	Seaside soarers
RINSES	Helps with the dishes
RESAND	Make even smoother
ENO	Brian of the early Roxy Music
SYNC	Harmony
STROM	The late Sen. Thurmond
ROTE	Classroom drudgery
OPEC	Oil grp.
MASK	Mardi Gras wear
JOHNNYCASH	"Folsom Prison Blues" singer
JUST	"___ do it"
ONTO	Not fooled by
HIER	Yesterday: Fr.
HEMA	Blood: Prefix
OPA	___-Locka, Fla.
UNISON	Oneness
EMOTES	Chews the scenery
MCI	___ WorldCom
OHNO	"This can't be!"
STE	Fr. holy woman
CLAIMCHECK	Luggage receipt
LATHERS	Prepares to shave
ATEALOT	Gorged oneself
ITAR	___-Tass (Russian news agency)
TORAH	Synagogue scroll
ANTLER	Branch in a trophy room
HEH	Snickering syllable
ATTAIN	Achieve
NESTEA	Snapple competitor
SCROD	New England catch
OARS	Galley gear
ADULT	Not for kids
RIGEL	Star in Orion
SENSE	Taste or touch
DEPTHCHARGE	Sub sinker
DOLL	"Mama" sayer
ERIE	Canal of song
PAVE	Finish a drive?
GIST	Main idea
EMMA	Lazarus or Goldman
DIE	It may be loaded at the casino
ORAL	Word-of-mouth
REL	Fam. member
IMPUGN	Assail, as a reputation
PIT	Orchestra area
LIVE	Not prerecorded
ORO	___ y Plata (Montana's motto)
SMILES	Puts on a happy face
LEER	Sly glance
DST	"Spring ahead" hrs.
TATTLE	Be a snitch
