ALLPRO	Outstanding football player
ALMA	Soprano Gluck
LTYR	Astronomical meas.
LIFT	Good news on a gloomy day, e.g.
PLAINTS	Objections
REVEAL	Exhibit
OSO	Baja bruin
RESAVE	Keep after further changes
RITA	Missing from 37-Across
ENERGIES	Forces
SIMIAN	Apelike
AVAST	Starbuck's order?
VAR	Dictionary abbr.
ECTO	Prefix with -derm
TRIBAL	Indian-related
THESETLETTER	A particular bit of typography?
ROD	Casting need
IRIS	It's usually blue, green or brown
BATTINGAGE	Certain eligibility requirement for Little League?
ACELA	Amtrak service
LEDON	Deceived
LTILES	Letter-shaped tesserae
MINIVAC	Little sucker
MIT	Where Kofi Annan received an M.B.A.
HORACE	He wrote "Even the worthy Homer sometimes nods"
MYFAVORITEMART	Store I most like to shop at?
RAZORSHARP	Finely honed
EDITED	Ready for publication
ARTIE	Comic Auerbach
ATARIS	2600, 5200 and 7800, gamewise
OPS	Photo ___
PJS	Attire with pics of sheep, maybe
STLO	Site of July 1944 fighting
NARZ	Jack who hosted the 1950's game show "Dotto"
REMY	___ Martin (cognac)
GATO	Mouse catcher, in Madrid
ORIENT	Source of spices for old traders
JEN	Actress Aniston, to friends
NAISH	Charlie Chan player on TV
IAN	Missing from 22-Across
BATTLEOFBIN	Melee in a Dumpster?
BATHS	Soaks
ALOOP	Thrown for ___
TAMPA	Super Bowl XXXVII winner, for short
FLOE	Sheet of ice
BENTS	Leanings
RESTAIN	Fix up, as old floors
EXCEED	Go over
INTELSAT	Communications orbiter
ALAS	"Too bad"
MRLEE	1957 hit for the Bobbettes
MIX	Combine
MANAGE	Get by
LINGER	Hang around
ETAS	Pilots' info
REPS	Sales crew
TOM	Missing from 119-Across
TYSONS	___ Corner, Va. (Washington suburb)
TNUT	Bolt holder
AEC	N.R.C. forerunner
ESTATE	What you will
HOPIN	Cabbie's call
ITSASIGN	"Maybe this is fate"
HET	Worked (up)
ANNE	Missing from 73-Down
ADOLL	"Be ___" ("Help me out")
THEGAP	Clothing retailer beginning in 1969
SPATULA	Flipper?
LISTENSTOADE	Heeds humorist George?
SEDATEST	Most calm
ENGRAM	Memory trace
SIDETOSIDE	Across
LESS	Discounted by
STIRS	Rouses
SECADA	Jon with the 1992 hit "Just Another Day"
NOG	Seasonal beverage
DIETS	Perennial best-seller subjects
TESS	"___ of the D'Urbervilles"
ARCA	Medieval chest
ANKA	"Lonely Boy" singer
ROAR	Crowd sound
CDLAUGHTER	What you hear on a Chris Rock recording?
SPENGLER	Dr. Egon ___ ("Ghostbusters" role)
NAVELS	Faux "buttons"
RERIG	Hoist again, as a sail
DREAMUP	Imagine
MAVEN	Whiz
USING	Not abstaining
PICAS	Type measures
NODSAT	Signals
ANOUK	Actress Aimée
CARL	Missing from 13-Down
EVE	Busy travel day, typically
VERA	Missing from 16-Down
STASI	East German secret police
KALINE	Baseball Hall-of-Famer Al
AVA	Actress Gardner
ARETES	Glacial ridges
ATONEFOR	Expiate
ESPN	Airer of many games
VIC	Missing from 61-Down
ARAGON	Where Zaragoza is
DEM	Blue Stater, more likely than not
TIROS	Pioneering weather satellite
PENA	Federico of Clinton's cabinet
PIZARRO	Founder of Lima
UNUSUAL	Novel
USH	Show to a seat, informally
TOGASPRINGS	Place to wash clothes in old Rome?
THEONE	1992 Elton John hit
RECAPS	Postgame productions
MAG	U.S. News or YM
MOOLA	Cabbage
ACTED	Functioned
KTS	Gold units: Abbr.
SOHN	Vater's boy
OTTOS	Four Holy Roman emperors
INEZ	Memorable 1966 hurricane
OCHS	"I Ain't Marching Anymore" singer
SARA	Missing from 98-Across
OHO	Cry of surprise
OBIT	Passing mention?
TEEMED	Overflowed
MTNS	Range: Abbr.
EHS	Quizzical sounds
CAIRO	Arab capital
IRAN	OPEC member
RENI	Italian artist Guido
OLGA	Saint from Kiev
OTTAWA	Senator's locale
WET	Dripping
BOTOFTHEBARREL	Droid in an oil container?
ORA	Mouths, zoologically
BSA	Org. receiving royalties for "God Bless America"
LEERED	Looked like Groucho
IRONONS	Some T-shirt designs
SPRANG	Arose
ADRATE	Pitcher's quote
TASERS	Cops' weapons
ASONIA	Tone deafness
