CLAY	Kind of court
CZAR	Winter Palace resident
LEVI	Dolly of "Hello, Dolly!"
ATOP	Surmounting
YAWS	Swerves, at sea
MANIC	Frenzied
MAHOUT	Elephant driver
ABORT	Scrub a launch
NAST	Tammany tiger's creator
ISEE	Psychic's phrase
CHARISMA	Personal magnetism
LAST	Shoe filler
LAYUP	Short-range basket
AGAPE	Wide open
SALON	Stylish shop
TREND	The way things are going
ZETA	Letter after epsilon
ABASH	Disconcert
AGAR	Mold medium
AVOW	Own up to
HOSEA	Follower of Daniel
YALE	Brown opponent
RIPSNORTER	Epitaph for a bull?
NOEL	Wassailer's song
UPON	"___ the Roof" (1963 hit)
OUT	In the open
IMPEND	Threaten
MTA	Kingston Trio hit
TABLET	Gelcap alternative
TALC	Soapstone component
AREO	Mars, in combinations
BIND	Tough spot
LEAP	Sudden transition
COST	Outlay
COVEN	Group of witches
OTIS	Redding of song
ARIEL	Shakespearean sprite
DOTMATRIX	Traffic planner's array?
DICE	Vegas rollers
TRAM	The cart before the ores
RICO	"Little Caesar" gangster
ICON	Click-on item
XENA	TV's Warrior Princess
LENA	Siberian river
LIVIA	Mother of Tiberius
LEMONADE	Summer quencher
RICE	Bridal shower?
CODPIECES	Non-prepaid items?
ION	It may have an extra electron
BACON	Breakfast sizzler
BOSC	Pear type
OMEN	Straw in the wind
POMONA	City near Los Angeles
PRIMER	Introductory reading
PACINO	"Scent of a Woman" star
PATCH	Temporary phone hookup
AVILA	Castilian city
COLOR	Decorator's decision
INEPT	Bumbling
ARS	"___ Poetica"
APACE	On the double
AVON	Mary Kay competitor
NITPICKERS	Basketball contest selectors?
ITAL	Romance lang.
TEND	Take care of
KARL	First name in Communism
EQUI	Relative of iso-
RUNT	Litter member
SAGE	Learned
TILE	Ceramacist's medium
ATEAM	Starters
AQUA	Marine leader?
CLOP	Hoof sound
DANCE	Pony or monkey
RUNG	Hierarchy level
HART	Hind's mate
ELDER	Church official
LITE	Easy-listening
