CLASP	Manila envelope closer
CHI	Greek X
LAD	Boy
AIT	River island
STALACTITES	Downers?
PIGSTY	Farm pen
ICON	Computer screen image
IRA	Tax deferral means: Abbr.
COMPLETECOLUMNS	Connectors?
OMAHA	Nebraska city
NATIVE	Not an emigré
FLAB	"Spare tire"
FLU	Winter ailment
LURCH	Leave in the ___
ALGAE	Pond growths
BLEND	Mix
HAITI	Dominican Republic neighbor
ROMA	Italia's capital
LULL	Interlude
IDTAG	Luggage clip-on
AMAT	"Amo, amas, ___ ..."
URGE	Prod
LSD	It made Leary bleary
DECAF	Joe that won't keep you up
PHIL	Rizzuto of the 1940's-50's Yankees
LIMB	Arm or leg
CAN	Fire, as from a job
SEDATE	Unruffled
STAMP	Envelope sticker
ERNIE	Bert's Muppet pal
DIANA	Late Princess of Wales
LAVISHED	Laid on generously
STALAGMITES	Uppers?
TRICYCLE	Tot's wheels
LUIS	San ___ Obispo, Calif.
EMT	Hwy. mishap respondent
ANAT	Med school subj.
AUTO	Driveway occupant
OLAV	Norway's patron saint
BALDS	Becomes a domehead
LORRE	Peter of "Casablanca"
DROOL	Slobber
SNOWY	Like a winter wonderland
MINI	Skirt that shows off legs
FIELD	Pasture
DREGS	Wine residue
LORN	Forsaken
PEATS	Fossil fuel blocks
SAHL	Comedian Mort
SCAR	Harry Potter's lightning bolt, e.g.
AROO	Suffix with buck
EAR	Piercing site
REUBEN	Sandwich with sauerkraut
OVERGROW	Exceed the bounds of
RAREST	Least seen
NUTSHELL	Summary holder?
NEARS	Closes in on
UNLIT	Dark
TEASE	Pull one's leg
LAURA	Mrs. Bush
GAMELY	With resolute spirit
ENE	WSW's opposite
LUAU	Party for lei wearers
SRI	___ Lanka
ALAN	___ Jay Lerner of Lerner & Loewe
NET	Volleyball equipment
BUMP	Jolt
PEA	Small coal size
ETTAS	Jazz's James and Jones
TWA	Intl. flier, once
AER	___ Lingus
SRS	Last year's jrs.
RISE	Fall's opposite
ERNE	Sea eagle
SEWER	System utilizing grates
STET	Editor's mark
NASA	Space capsule insignia
TSARS	Rulers before Lenin
