DMA	Basic teaching
DCCHER	Lowly post
MORALE	Something that may need boosting
ANIMAS	Inner selves, to Jung
VAMPS	Sirens
VACE	Annul, as a legal order
ABORTERS	Apollo 13 astronauts, e.g.
MENSA	Organization that no U.S. president has ever belonged to
PEI	Designer from China
STN	Stop: Abbr.
DEATD	Ruthlessly competitive
DSTAR	Guiding light
EPALABS	Some fed. govt. testing sites
ARI	N.L. West team, on scoreboards
TEL	Business card abbr.
DES	Venice's ___ Palace
CON	Start of a Tennessee Williams title
ABEET	Red as ___
SPREE	Spendthrift's joy
CRI	___ de guerre
CONINETAILS	Whip on the high seas
ECRU	Light shade
HAMPERS	Slows down
PLOT	Cook up
CAL	___ Tech
ELAL	Airline with the King David Lounge
TAR	Slander, say
RAINING	With 41-Across, title for this puzzle
RRATED	Like "Brokeback Mountain"
TIPS	Reward for waiting?
ETAL	List ender
DEWY	___-eyed
RESOLE	Fix, as a pump
LOCE	Track down
AAU	Org. with the annual Junior Olympic Games
ADDN	Arith. process
BITE	Nosh
TORRID	Hotter than hot
RARE	Still red inside
CSPAW	Stooge
CSUP	Burger topper
HUN	Vandal
HOTD	Show-off
UHOH	"Here comes trouble"
NATO	Org. with troops
CSANDDS	See 25-Down
DGIEBAGS	Ones going home after dinner?
SLY	Underhanded
OHARE	Orchard Field, today
ROULADE	Meat dish with a filling
RINGUP	Buzz
PESO	100 centavos
TOTO	Film pooch
HEN	Kind of party
HEPC	Jazz buff
IPECAC	Drug used to treat poisoning
CORNDS	Carnival treats
ALBEIT	Notwithstanding
COSETS	Mathematical groups
DHOUSE	Place of disgrace
SASES	MS. enclosures
GRE	E.T.S. offering
RACER	Slot car, e.g.
SOLO	Unaccompanied
LAP	Spot for Spot?
ABSORBS	Takes in
SNEE	Old dagger
CCHASCCHCAN	Unplanned
CER	Serve, as a banquet
CVI	Year in Trajan's reign
HAD	Kept
CST	St. Paul hrs.
HIE	Rush
NEE	Word between two names
EVADE	Get around
SIEGE	Military operation
DIT	Loaf on the job
RIDES	Six Flags features
TERSE	To the point
STS	Some city map lines: Abbr.
