VALET	Car parker
VAST	Seemingly limitless
ARTE	Comic Johnson
LEER	Goat's look
ENAMEL	Glossy finish
TAM	Cap with a pompom
DROOL	Show hunger, in a way
DVDS	Blockbuster rentals
RACE	Talladega 500, e.g.
ONRUSH	Torrent
ONAPAR	Even (with)
LAB	"Chocolate" dog
ESS	Snaky shape
EVITAPERON	First lady played by Madonna
SOFTC	The first letter of "circle" (but not the fourth)
SLINK	Move furtively
ARENA	Fight site
VANNA	Revealing woman on TV?
VOL	TV control abbr.
STEAMEDCRAB	Grouch who's plenty mad?
EUREKA	"That's it!"
IFI	"___ were you ..."
TERM	___ limits (election issue)
USEUP	Exhaust
ATTN	Abbr. before a name on an envelope
ASMUD	Clear ___ (hard to understand)
EER	Always, in poems
ELS	Loop transports
SADSACK	Perennial loser
DIG	Beatnik's "Get it?"
GRILLEDSHRIMP	Pipsqueak under cross-examination?
GRAD	Mortarboard tosser
ROLE	Cameo, e.g.
ICEBREAKER	Party warmer-upper
DEB	She's coming out
SENSE	Brains
ROC	Bird in the "Arabian Nights"
SKEE	___-Ball (arcade game)
GUESS	20 Questions turn
SITU	As originally placed, after "in"
SPOT	"You missed a ___!"
ALES	Some brews
STORM	Blow hard
ABNER	Daisy Mae's man
END	Wrap up
RIPEST	Best for picking
DRIP	Coffeemaker style
DEBTS	They're outstanding
SAT	Did nothing
SNIT	Agitated state
TEE	Golf ball's perch
OTO	Ear: Prefix
ROASTEDPEANUT	Wee lad feted by the Friars?
SIERRA	Western mountain chain, with "the"
TAXIED	Proceeded along the tarmac
ALDRIN	Second man to walk on the moon
INERTIA	Resistance to change
IRISH	March marchers
NOLTE	Nick of "Affliction"
EEL	Sushi fish
ROAM	What nomads do
EXPOS	Shows with pavilions
PENA	Federico of the Clinton cabinet
ODER	Baltic feeder
DELE	Takeout sign?
EKED	Barely managed, with "out"
LEGO	Block brand
EYER	One making a visual assessment
ILK	Class
FRIEDTURKEY	Burned-out goofball?
FIR	Yule tree
USA	"The Star-Spangled Banner" land
STE	Sault ___ Marie, Mich.
IRENE	"Goodnight" girl of song
SIEGE	Assault on Troy, e.g.
HER	Ship's pronoun
RADAR	Weather station's need
ANDOR	Choice words?
