IBARS	Building supports
ITSELF	What "ipso" means
BELAIR	Fancy part of Los Angeles
AVERSE	Loath
RYE	Some whiskey
SEPA	Print tint
AHSO	"I see," facetiously
ANGLED	Caught some rays, perhaps
HOP	Kachina doll maker
SILL	Framework piece
ORLEANS	Capital of Loiret
AJAR	Not latched
ALCOA	Major can maker
JOHNSUNN	Chief of staff under George Bush
ACADEMIA	Dean's concern
ROPE	Skip it
TEVYE	Zero Mostel role of 1964
NOIR	Color of some wine grapes
LOCO	Cracked
SLEEPNGPLL	Insomniac's need
NOEND	Very much
CHAP	Crack, in a way
EAR	Otologist's study
AOL	Company founded by Steve Case
LEMONDE	Newspaper read at Notre Dame
MBA	Exec's degree
LISA	Oliver's wife on "Green Acres"
ANGST	Apprehensive feeling
EEC	Common Market: Abbr.
COUPDET	Overthrow
ABASE	Lower
FRENCNDOCNA	Vietnam was part of it
CAT	Big name in the ad biz
CPS	Poker supplies
UMA	Actress Thurman
ATL	N.L. East team
GAD	Travel widely
UPS	Raises
INIT	Arctic native
INALL	Counting everything
SOPST	Fallacious reasoner
SKA	Cousin of reggae
OILCOLOR	Art shop buy
PLADELPA	Eagles' home
LPS	The Who's "Tommy" and others
LAG	Delay
ANNAL	China aster, e.g.
ALE	Prince Valiant's wife
KILT	Scot's wear
HAD	Taken in
HEMMERS	Sewing machine attachments
FLA	Naples's home: Abbr.
FLOOD	Kind of insurance
ALA	Carte start
VEGEBLELLOW	Soapmaking substance
VOS	Writer Marilyn ___ Savant
BONNET	Car hood, in Britain
LOOKTO	Consult
OLDIES	Enduring hits
WADERS	Duck hunter's boots
CDROM	Modern data holder
RISES	Angry reactions
TOO	Moreover
LOLA	1970 Kinks hit
WOEISME	Sorrowful cry
WISE	Sage
EDIT	Rearrange, say
NOS	Rebuffs
SMRF	Kids' TV character
ODD	Roulette bet
ILLS	Troubles
EDMNDMSKIE	Hubert Humphrey's running mate, 1968
MLE	Uncooperative one
SAL	Noted 62-Down
SOPE	1982 title role for Meryl Streep
RILE	Nettle
RATER	Judge, at times
ERAS	Geologists' divisions
STET	Proof word
FLOSS	Dental stuff
