URGED	Pressed
UTAH	Team for which Darrell Griffith was Rookie of the Year
ROBE	It's a cover-up
GRAMAMOSES	American rural life painter
ESO	That, to Tomás
DONSHULA	Former Dolphins head
GNAW	Vex, with "at"
GLOWS	Is positively elated
NOLI	___ me tangere (something off-limits)
ACDC	Current choice
WITHCARE	Cautiously
HASH	Slice and dice
HAMSTER	Treadmill user
AUEL	"The Clan of the Cave Bear" author Jean
STRA	Purchase from a jeweler
HOSS	"Bonanza" brother
TORSO	Body of art?
LOCI	Sites
AUTO	Aries or Taurus
ABAON	Lack of restraint
OLDTIMERS	Experienced hands
III	Son of a son
HEM	It may be found just above the knee
SAWICHISLAS	Hawaii, once
AES	Long range?
ACHES	Sore spots
CPL	Pfc.'s superior
CIT	Op. ___
RUMPUS	Hullabaloo
RAMBO	Militant fanatic
UTTER	Out-and-out
BRA	Piece of a two-piece
BASTA	July 4th concert site
ROSE	Like some wines
ECRU	Hose hue
CAIDCAMERA	Where many smiles are seen
ROBOT	Man of steel?
UMASS	Bay State sch.
ATOLL	Castaway's site
CAOR	Openness
CARL	Cosmologist Sagan
RAOM	Haphazard
MTS	They may have caps: Abbr.
AMASSES	Piles up
MEGALITH	"2001" stone
SUNDRESS	Hot-weather wear
IBA	Hall-of-Fame basketball coach Hank
BEEF	Grievance
FOGYISH	Like a stick-in-the-mud
ERTE	One-named designer
UPDOS	Hair-raisers?
PAR	Hole goal
ORSO	"...___ they say"
GLA	Liver, e.g.
ENACTS	Passes
EYE	Iris's place
GSA	Fed. property manager
SAP	It may be found in a trunk
HYDRA	Monster slain by Hercules
HASET	Telephone part
BRAYALEXAER	Sweet cocktail
BEAM	Bit of moonlight
RULE	Make a call
ARES	Guitarist Segovia
EDIE	Newswoman Magnus
XENA	Lawless character
MAY	Barry Manilow hit
AREW	Hard-hitting 1992 hurricane
YOWL	Distressed cry
EURIPIDES	"The Trojan Women" playwright
ENERO	Calendario opener
NTH	Like a certain number
ALES	Inn inventory
TINE	Food sticker
STREW	Toss about
MESH	Fit together
HEAT	What mobsters pack
SHAWL	Head and shoulders protection
