AVIV	Tel ___
AMID	In the thick of
VIVO	In ___ (type of fertilization)
IDEA	Inspiration
VISHNU	The Preserver, in Hinduism
BEGAT	Sired, biblically
BASTA	"Enough, Enrico!"
ERIC	Speedskater Heiden
GOTH	Early Black Sea settler
ALOE	Burn healer
TENTH	Metric portion
ZAPS	Hits with phaser fire
ZEROHOUR	Blastoff time
ARAB	Resident of 55-Down
PAGO	When repeated, a Samoan city
STAN	"South Park" kid
MIDI	Ankle-showing skirt
AROLE	Play ___ in (be involved with)
ERAT	Quod ___ faciendum
IVES	Folk singer Burl
SITON	Suppress
RAGA	Indian music
DOAHATCHETJOBON	Critique roughly and unfairly
ASPCA	Org. that shelters strays
JAN	Feb.'s predecessor
NSA	Cryptologic grp.
HAH	"Fat chance!"
BIDUP	Increase the price of at auction
BEHAR	"The View" co-host Joy
IDARE	"Do ___?" (words of indecision)
DUVET	Comforter
ATM	$$$ provider
ALARM	It might scream after being tripped
TAXER	Internal Revenue Service, e.g.
MITES	Small arachnids
NOCAL	Ideal for dieters
CRIME	Fiction genre
AGNES	"___ of God" (1985 film)
LEDGE	Precarious perch
EDU	Web address ender
CALAIS	Destination from Dover
ANG	"The Ice Storm" director Lee
SOD	Outfield surface
URGE	Press
HAVEANAXTOGRIND	Harbor personal motives
EARMARKS	Sets aside (for)
GYROS	Spinning toys
AREA	Extent
GREEDY	Covetous
MEG	Actress Tilly
RETRO	Hardly modern
OOH	"How exciting!"
MRS	"___ Miniver"
REESE	"Touched By an Angel" star Della
ENSIGN	Naval standard
MOP	Unruly head of hair
PAPAS	Dads
VON	German name starter
VICAR	"The ___ of Wakefield"
TOMAHAWKMISSILE	Gulf war weapon
TORI	3-D figures
OMAN	Muscat is its capital
MANX	Kind of cat
WARE	Ending with hard or soft
KNOW	Be wise to
MIME	Quiet type?
INRE	Concerning
LOAD	Amount of work
ENDS	Goes no further
OMAR	Five-star Bradley
PANIC	Run on a bank
INON	A party to
RANK	Like some amateurs
AROMA	Indicator of freshness, perhaps
GRAD	June celebrant
INXS	80's rock band from Australia
SEWER	Ed Norton's workplace
NEDS	Beatty and Buntline
